No.,ïœà (1),â◊èd(1)
299,1.523,92
300,1.528,92.5
301,1.533,92.5
302,1.538,92.5
303,1.544,93
304,1.549,93
305,1.553,93
306,1.558,93.5
307,1.564,93.5
308,1.569,93.5
309,1.574,94
310,1.579,94
311,1.584,94
312,1.589,94.5
313,1.594,94.5
314,1.599,94.5
315,1.604,95
316,1.609,95
317,1.614,95
318,1.619,95.5
319,1.624,95.5
320,1.629,95.5
321,1.634,96
322,1.639,96
323,1.645,96
324,1.649,96.5
325,1.654,96.5
326,1.659,97
327,1.664,97
328,1.669,97
329,1.675,97
330,1.68,97
331,1.684,97.5
332,1.689,97.5
333,1.695,98
334,1.7,98
335,1.705,98
336,1.709,98.5
337,1.714,98.5
338,1.72,98.5
339,1.724,98.5
340,1.729,99
341,1.734,99
342,1.739,99
343,1.745,99.5
344,1.749,99.5
345,1.754,99.5
346,1.759,100
347,1.764,100
348,1.769,100
349,1.774,100.5
350,1.779,100.5
351,1.784,100.5
352,1.789,101
353,1.794,101
354,1.799,101
355,1.804,101
356,1.809,101.5
357,1.814,101.5
358,1.819,101.5
359,1.824,101.5
360,1.829,102
361,1.834,102
362,1.839,102
363,1.844,102.5
364,1.849,102.5
365,1.854,102.5
366,1.859,102.5
367,1.864,103
368,1.869,103
369,1.874,103
370,1.878,103
371,1.884,103.5
372,1.889,103.5
373,1.894,103.5
374,1.899,103.5
375,1.904,104
376,1.909,104
377,1.914,104
378,1.919,104
379,1.924,104.5
380,1.929,104.5
381,1.934,104.5
382,1.939,105
383,1.944,105
384,1.949,105
385,1.954,105
386,1.959,105.5
387,1.964,105.5
388,1.969,105.5
389,1.974,105.5
390,1.979,105.5
391,1.984,106
392,1.989,106
393,1.994,106
394,1.999,106
395,2.004,106.5
396,2.009,106.5
397,2.014,106.5
398,2.019,106.5
399,2.024,106.5
400,2.029,107
401,2.034,107
402,2.039,107
403,2.044,107
404,2.049,107.5
405,2.054,107.5
406,2.059,107.5
407,2.064,107.5
408,2.069,107.5
409,2.074,108
410,2.079,108
411,2.084,108
412,2.089,108
413,2.094,108.5
414,2.099,108.5
415,2.104,108.5
416,2.109,108.5
417,2.114,108.5
418,2.119,108.5
419,2.124,109
420,2.129,109
421,2.134,109
422,2.139,109
423,2.144,109.5
424,2.149,109.5
425,2.154,109.5
426,2.159,109.5
427,2.164,109.5
428,2.169,109.5
429,2.174,110
430,2.179,110
431,2.184,110
432,2.19,110
433,2.195,110
434,2.2,110.5
435,2.205,110.5
436,2.21,110.5
437,2.215,110.5
438,2.22,110.5
439,2.225,110.5
440,2.23,110.5
441,2.235,111
442,2.24,111
443,2.245,111
444,2.25,111
445,2.255,111
446,2.262,111
447,2.267,111.5
448,2.272,111.5
449,2.277,111.5
450,2.282,111.5
451,2.287,111.5
452,2.292,111.5
453,2.297,112
454,2.302,112
455,2.306,112
456,2.312,112
457,2.317,112
458,2.322,112
459,2.326,112
460,2.332,112
461,2.337,112.5
462,2.342,112.5
463,2.347,112.5
464,2.352,112.5
465,2.357,112.5
466,2.364,112.5
467,2.369,113
468,2.374,113
469,2.379,113
470,2.384,113
471,2.389,113
472,2.394,113
473,2.399,113
474,2.404,113
475,2.409,113
476,2.414,113.5
477,2.419,113.5
478,2.424,113.5
479,2.429,113.5
480,2.434,113.5
481,2.439,113.5
482,2.445,113.5
483,2.449,113.5
484,2.454,113.5
485,2.459,113.5
486,2.464,114
487,2.469,114
488,2.475,114
489,2.481,114
490,2.488,114
491,2.493,114
492,2.498,114
493,2.502,114
494,2.508,114
495,2.513,114.5
496,2.522,114.5
497,2.528,114.5
498,2.533,114.5
499,2.54,114.5
500,2.547,114.5
501,2.553,114.5
502,2.559,114.5
503,2.564,114.5
504,2.572,114.5
505,2.578,115
506,2.585,115
507,2.592,115
508,2.597,115
509,2.602,115
510,2.609,115
511,2.614,115
512,2.621,115
513,2.631,115
514,2.636,115
515,2.643,115
516,2.649,115
517,2.654,115
518,2.661,115
519,2.669,115
520,2.678,115.5
521,2.685,115.5
522,2.691,115.5
523,2.699,115.5
524,2.705,115.5
525,2.711,115.5
526,2.717,115.5
527,2.722,115.5
528,2.73,115.5
529,2.736,115.5
530,2.744,115.5
531,2.75,115.5
532,2.756,115.5
533,2.762,115.5
534,2.768,115.5
535,2.772,115.5
536,2.78,115.5
537,2.79,115.5
538,2.796,115.5
539,2.801,115.5
540,2.808,115.5
541,2.816,116
542,2.821,115.5
543,2.828,116
544,2.834,116
545,2.84,116
546,2.845,116
547,2.851,116
548,2.857,116
549,2.864,116
550,2.87,116
551,2.875,116
552,2.884,116
553,2.892,116
554,2.897,116
555,2.902,116
556,2.907,116
557,2.912,116
558,2.917,116
559,2.922,116
560,2.927,116
561,2.932,116
562,2.937,116
563,2.944,116
564,2.95,116
565,2.955,116
566,2.961,116
567,2.966,116
568,2.971,116
569,2.977,116
570,2.984,116
571,2.991,116
572,2.997,116
573,3.004,116
574,3.01,116
575,3.015,116
576,3.021,116
577,3.025,116
578,3.03,116
579,3.039,116
580,3.044,116
581,3.049,116
582,3.054,116
583,3.058,116
584,3.063,116
585,3.069,116
586,3.074,116
587,3.08,116
588,3.087,116
589,3.094,116
590,3.099,116
591,3.104,116
592,3.108,116
593,3.114,116
594,3.12,116
595,3.125,116
596,3.132,116
597,3.138,116
598,3.145,116
599,3.15,116
600,3.155,116
601,3.16,116
602,3.167,116
603,3.174,116
604,3.181,116
605,3.187,116
606,3.194,116
607,3.201,116
608,3.207,116
609,3.214,116
610,3.223,116
611,3.228,116
612,3.233,116
613,3.238,116
614,3.243,116
615,3.248,116
616,3.253,116
617,3.258,116
618,3.263,116
619,3.27,116
620,3.276,116
621,3.283,116
622,3.288,115.5
623,3.293,116
624,3.298,115.5
625,3.303,115.5
626,3.308,115.5
627,3.313,116
628,3.318,116
629,3.323,115.5
630,3.328,115.5
631,3.333,115.5
632,3.338,115.5
633,3.343,115.5
634,3.348,115.5
635,3.353,115.5
636,3.358,115.5
637,3.363,115.5
638,3.368,115.5
639,3.373,115.5
640,3.378,115.5
641,3.383,115.5
642,3.388,115.5
643,3.393,115.5
644,3.398,115.5
645,3.403,115.5
646,3.408,115.5
647,3.413,115.5
648,3.418,115.5
649,3.423,115.5
650,3.428,115.5
651,3.433,115.5
652,3.438,115.5
653,3.443,115.5
654,3.448,115.5
655,3.453,115.5
656,3.458,115.5
657,3.463,115.5
658,3.468,115.5
659,3.473,115.5
660,3.478,115.5
661,3.483,115.5
662,3.488,115.5
663,3.493,115.5
664,3.498,115.5
665,3.503,115
666,3.507,115
667,3.513,115
668,3.517,115
669,3.522,115.5
670,3.527,115.5
671,3.532,115
672,3.537,115
673,3.542,115
674,3.547,115
675,3.552,115
676,3.557,115
677,3.562,115
678,3.567,115
679,3.572,115
680,3.577,115
681,3.582,115
682,3.587,115
683,3.593,115
684,3.598,115
685,3.602,115
686,3.607,115
687,3.613,115
688,3.618,115
689,3.623,115
690,3.628,115
691,3.633,115
692,3.638,115
693,3.643,115
694,3.648,115
695,3.653,115
696,3.658,115
697,3.663,115
698,3.668,115
699,3.673,115
700,3.678,115
701,3.683,115
702,3.688,115
703,3.693,115
704,3.699,115
705,3.703,115
706,3.708,115
707,3.713,115
708,3.718,115
709,3.724,115
710,3.729,114.5
711,3.733,114.5
712,3.739,115
713,3.744,114.5
714,3.749,114.5
715,3.753,114.5
716,3.758,114.5
717,3.763,114.5
718,3.768,114.5
719,3.774,114.5
720,3.779,114.5
721,3.783,114.5
722,3.789,114.5
723,3.793,114.5
724,3.799,114.5
725,3.804,114.5
726,3.809,114.5
727,3.813,114.5
728,3.818,114.5
729,3.824,114.5
730,3.828,114.5
731,3.833,114.5
732,3.838,114.5
733,3.844,114.5
734,3.849,114.5
735,3.854,114.5
736,3.858,114.5
737,3.863,114.5
738,3.869,114.5
739,3.874,114.5
740,3.878,114.5
741,3.883,114.5
742,3.888,114.5
743,3.893,114
744,3.898,114
745,3.903,114.5
746,3.908,114.5
747,3.913,114
748,3.918,114
749,3.923,114
750,3.928,114
751,3.933,114
752,3.938,114
753,3.943,114
754,3.948,114
755,3.953,114
756,3.958,114
757,3.963,114
758,3.968,114
759,3.973,114
760,3.978,114
761,3.983,114
762,3.988,114
763,3.993,114
764,3.998,114
765,4.003,114
766,4.008,114
767,4.013,114
768,4.018,114
769,4.023,114
770,4.028,114
771,4.033,113.5
772,4.038,113.5
773,4.043,113.5
774,4.048,113.5
775,4.053,113.5
776,4.058,113.5
777,4.063,113.5
778,4.068,113.5
779,4.073,113.5
780,4.078,113.5
781,4.083,113.5
782,4.088,113.5
783,4.093,113.5
784,4.098,113.5
785,4.103,113.5
786,4.108,113.5
787,4.113,113.5
788,4.118,113.5
789,4.123,113.5
790,4.128,113.5
791,4.133,113.5
792,4.138,113.5
793,4.143,113.5
794,4.148,113.5
795,4.153,113.5
796,4.158,113.5
797,4.163,113.5
798,4.168,113.5
799,4.173,113.5
800,4.178,113.5
801,4.183,113
802,4.188,113.5
803,4.193,113.5
804,4.198,113.5
805,4.203,113
806,4.208,113.5
807,4.213,113
808,4.218,113
809,4.224,113
810,4.229,113
811,4.234,113
812,4.239,113
813,4.244,113
814,4.249,113
815,4.254,113
816,4.259,113
817,4.264,113
818,4.269,113
819,4.274,113
820,4.279,113
821,4.284,113
822,4.289,113
823,4.294,113
824,4.299,112.5
825,4.304,112.5
826,4.309,112.5
827,4.314,112.5
828,4.319,112.5
829,4.324,112.5
830,4.329,112.5
831,4.334,112.5
832,4.338,112.5
833,4.344,112.5
834,4.349,112.5
835,4.353,112.5
836,4.358,112.5
837,4.364,112.5
838,4.369,112.5
839,4.373,112.5
840,4.378,112.5
841,4.383,112
842,4.388,112
843,4.393,112
844,4.398,112
845,4.403,112
846,4.408,112
847,4.413,112
848,4.418,112
849,4.423,112
850,4.428,111.5
851,4.433,111.5
852,4.438,111.5
853,4.443,111.5
854,4.449,111.5
855,4.453,111
856,4.458,111
857,4.464,110.5
858,4.469,110.5
859,4.474,95.5
860,4.479,37
861,4.479,37
862,4.479,0
