No.,ïœà (1),â◊èd(1)
,mm,N
1,0,5
2,0.005,5.5
3,0.01,6
4,0.015,6.5
5,0.02,7.5
6,0.025,8
7,0.03,9
8,0.035,10
9,0.042,10.5
10,0.05,11.5
11,0.055,12
12,0.06,12.5
13,0.065,13.5
14,0.07,14
15,0.075,14.5
16,0.081,15.5
17,0.086,16
18,0.091,17
19,0.096,17.5
20,0.101,18
21,0.106,18.5
22,0.111,19
23,0.116,19.5
24,0.121,20
25,0.126,20.5
26,0.131,21
27,0.136,21
28,0.141,21.5
29,0.146,22
30,0.151,22.5
31,0.156,23
32,0.161,23
33,0.166,23.5
34,0.171,24
35,0.176,24.5
36,0.181,24.5
37,0.186,25
38,0.191,25.5
39,0.196,26
40,0.201,26
41,0.206,26.5
42,0.211,27
43,0.218,27.5
44,0.223,28
45,0.227,28
46,0.233,28.5
47,0.238,29
48,0.243,29
49,0.247,29.5
50,0.253,30
51,0.258,30.5
52,0.263,30.5
53,0.268,31
54,0.273,31.5
55,0.281,32
56,0.287,32.5
57,0.293,33
58,0.3,34
59,0.305,34
60,0.31,34.5
61,0.317,35
62,0.322,35.5
63,0.326,36
64,0.332,36
65,0.337,36.5
66,0.344,37
67,0.349,37.5
68,0.354,37.5
69,0.359,38
70,0.364,38.5
71,0.369,39
72,0.375,39
73,0.381,39.5
74,0.385,40
75,0.39,40
76,0.396,40.5
77,0.401,41
78,0.406,41.5
79,0.411,41.5
80,0.416,42
81,0.421,42.5
82,0.426,42.5
83,0.431,43
84,0.436,43
85,0.441,43.5
86,0.446,44
87,0.451,44
88,0.456,44.5
89,0.461,45
90,0.466,45
91,0.471,45.5
92,0.476,46
93,0.481,46
94,0.486,46.5
95,0.491,46.5
96,0.496,47
97,0.501,47.5
98,0.506,48
99,0.511,48.5
100,0.516,48.5
101,0.521,49
102,0.528,49.5
103,0.533,50
104,0.538,50.5
105,0.543,51
106,0.548,51
107,0.553,51.5
108,0.558,52
109,0.563,52
110,0.568,52.5
111,0.573,53
112,0.577,53
113,0.582,53.5
114,0.588,54
115,0.593,54
116,0.597,54.5
117,0.602,55
118,0.608,55
119,0.613,55.5
120,0.618,55.5
121,0.622,56
122,0.627,56
123,0.633,56.5
124,0.637,56.5
125,0.642,57
126,0.647,57
127,0.653,57.5
128,0.657,57.5
129,0.663,58
130,0.668,58
131,0.673,58
132,0.677,58
133,0.683,58.5
134,0.688,58.5
135,0.693,59
136,0.7,59.5
137,0.705,59.5
138,0.71,60
139,0.715,60
140,0.721,60.5
141,0.726,60.5
142,0.731,61
143,0.737,61
144,0.742,61.5
145,0.747,61.5
146,0.752,62
147,0.757,62
148,0.762,62.5
149,0.767,62.5
150,0.772,63
151,0.777,63
152,0.782,63.5
153,0.786,63.5
154,0.792,63.5
155,0.797,64
156,0.802,64
157,0.808,64.5
158,0.813,64.5
159,0.818,65
160,0.823,65
161,0.828,65
162,0.833,65.5
163,0.838,65.5
164,0.844,66
165,0.848,66
166,0.853,66.5
167,0.859,66.5
168,0.864,66.5
169,0.868,67
170,0.873,67
171,0.879,67.5
172,0.883,67.5
173,0.888,67.5
174,0.894,67.5
175,0.898,67.5
176,0.903,67.5
177,0.908,68
178,0.913,68.5
179,0.918,68.5
180,0.924,68.5
181,0.929,69
182,0.933,69
183,0.939,69
184,0.944,69.5
185,0.949,69.5
186,0.954,69.5
187,0.959,70
188,0.964,70
189,0.969,70.5
190,0.974,70.5
191,0.978,71
192,0.984,71
193,0.989,71.5
194,0.994,71.5
195,0.998,71.5
196,1.004,72
197,1.009,72
198,1.013,72.5
199,1.018,72.5
200,1.024,72.5
201,1.028,73
202,1.034,73
203,1.039,73.5
204,1.043,73.5
205,1.048,74
206,1.053,74
207,1.058,74
208,1.065,74.5
209,1.07,74.5
210,1.075,75
211,1.08,75
212,1.085,75.5
213,1.091,75.5
214,1.095,75.5
215,1.101,76
216,1.105,76
217,1.111,76.5
218,1.116,76.5
219,1.121,77
220,1.126,77
221,1.131,77
222,1.136,77.5
223,1.141,77.5
224,1.146,78
225,1.151,78
226,1.156,78.5
227,1.162,78.5
228,1.167,78.5
229,1.172,79
230,1.177,79
231,1.182,79
232,1.187,79.5
233,1.192,79.5
234,1.197,80
235,1.202,80
236,1.207,80.5
237,1.212,80.5
238,1.217,80.5
239,1.222,81
240,1.227,81
241,1.232,81
242,1.237,81.5
243,1.242,81.5
244,1.247,82
245,1.252,82
246,1.258,82
247,1.262,82.5
248,1.267,82.5
249,1.273,82.5
250,1.278,83
251,1.282,83
252,1.287,83.5
253,1.293,83.5
254,1.298,83.5
255,1.302,84
256,1.307,84
257,1.313,84.5
258,1.318,84.5
259,1.323,84.5
260,1.328,85
261,1.333,85
262,1.338,85.5
263,1.343,85.5
264,1.348,85.5
265,1.353,86
266,1.358,86
267,1.363,86.5
268,1.368,86.5
269,1.373,86.5
270,1.378,87
271,1.383,87
272,1.388,87.5
273,1.393,87.5
274,1.398,87.5
275,1.403,88
276,1.408,88
277,1.413,88
278,1.418,88.5
279,1.423,88.5
280,1.428,88.5
281,1.433,89
282,1.438,89
283,1.443,89.5
284,1.448,89.5
285,1.453,89.5
286,1.458,90
287,1.463,90
288,1.468,90
289,1.473,90.5
290,1.478,90.5
291,1.483,90.5
292,1.488,91
293,1.493,91
294,1.498,91
295,1.503,91.5
296,1.508,91.5
297,1.513,91.5
298,1.518,92
