DICひずみ,DIC応力
0.001097695,0.590656988
0.000823271,0.561124138
0.000823271,0.531591289
0.001097695,0.561124138
0.000823271,0.679255536
0.001097695,0.561124138
0.001097695,0.561124138
0.000823271,0.620189837
0.000823271,0.620189837
0.001372119,0.620189837
0.001920966,0.590656988
0.001372119,0.620189837
0.000823271,0.561124138
0.001097695,0.620189837
0.001372119,0.590656988
0.001920966,0.561124138
0.001097695,0.590656988
0.00219539,0.620189837
0.001372119,0.561124138
0.001646542,0.649722687
0.001097695,0.531591289
0.000823271,0.590656988
0.001372119,0.561124138
0.000823271,0.590656988
0.001097695,0.561124138
0.001646542,0.590656988
0.001097695,0.561124138
0.001097695,0.531591289
0.000548847,0.50205844
0.001372119,0.561124138
0.001372119,0.531591289
0.001920966,0.531591289
0.001097695,0.531591289
0.001097695,0.531591289
0.001372119,0.590656988
0.000548847,0.590656988
0.001097695,0.620189837
0.000823271,0.620189837
0.001372119,0.561124138
0.000823271,0.561124138
0.000823271,0.561124138
0.001920966,0.531591289
0.001372119,0.531591289
0.001097695,0.561124138
0.001920966,0.531591289
0.001372119,0.561124138
0,0.590656988
0.000823271,0.590656988
0.001372119,0.561124138
0.000823271,0.620189837
0.001646542,0.561124138
0.001646542,0.620189837
0.001646542,0.590656988
0.001646542,0.561124138
0.000823271,0.531591289
0.001097695,0.649722687
0.001372119,0.649722687
0.001646542,0.590656988
0.000823271,0.620189837
0.00219539,0.620189837
0.001372119,0.561124138
0.000823271,0.620189837
0.001097695,0.561124138
0.000823271,0.620189837
0.001920966,0.531591289
0.001372119,0.561124138
0.001646542,0.561124138
0.001646542,0.620189837
0.001646542,0.620189837
0.000823271,0.620189837
0.000823271,0.531591289
0.001097695,0.620189837
0.001372119,0.561124138
0.001097695,0.590656988
0.001646542,0.531591289
0.001097695,0.561124138
0.001372119,0.442992741
0.001372119,0.620189837
0.001372119,0.531591289
0.000823271,0.620189837
0.001097695,0.561124138
0.000823271,0.620189837
0.000823271,0.531591289
0.001097695,0.620189837
0.001372119,0.590656988
0.001372119,0.620189837
0.001097695,0.649722687
0.001372119,0.620189837
0.001646542,0.531591289
0.001372119,0.561124138
0.001097695,0.531591289
0.001646542,0.531591289
0.001097695,0.590656988
0.001097695,0.649722687
0.001646542,0.590656988
0.001097695,0.531591289
0.001097695,0.590656988
0.001097695,0.649722687
0.001097695,0.620189837
0.000823271,0.620189837
0.001097695,0.649722687
0.001646542,0.561124138
0.000548847,0.649722687
0.000548847,0.590656988
0.000548847,0.561124138
0.000823271,0.620189837
0.000823271,0.620189837
