番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
7502,2024-12-18,16:50:32,10,-0.006,-0.000,-0.001,-0.007,+0.02,+0.04,+0.01,+0.05,+0.02,+6.317,+0.759,+0.03,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7503,2024-12-18,16:50:32,20,-0.006,-0.003,-0.002,-0.005,+0.01,-0.01,+0.01,+0.03,+0.03,+6.318,+0.759,+0.02,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7504,2024-12-18,16:50:32,30,-0.008,-0.001,-0.004,-0.004,+0.02,+0.03,+0.03,+0.04,+0.04,+6.319,+0.760,+0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7505,2024-12-18,16:50:32,40,-0.008,-0.000,-0.001,-0.005,+0.04,+0.02,+0.01,+0.04,+0.04,+6.319,+0.761,+0.01,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7506,2024-12-18,16:50:32,50,-0.007,-0.003,-0.002,-0.005,+0.03,+0.01,+0.03,+0.05,+0.04,+6.321,+0.759,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7507,2024-12-18,16:50:32,60,-0.006,-0.004,-0.003,-0.004,+0.02,+0.04,-0.01,+0.05,+0.04,+6.322,+0.761,+0.04,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7508,2024-12-18,16:50:32,70,-0.007,-0.001,-0.001,-0.005,+0.04,+0.00,+0.01,+0.06,+0.03,+6.324,+0.760,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7509,2024-12-18,16:50:32,80,-0.005,+0.000,-0.003,-0.005,+0.03,+0.01,+0.03,+0.02,+0.03,+6.322,+0.760,+0.03,-0.03,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7510,2024-12-18,16:50:32,90,-0.006,-0.002,-0.002,-0.006,+0.03,+0.04,+0.01,+0.06,+0.04,+6.324,+0.762,+0.02,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7511,2024-12-18,16:50:32,100,-0.005,-0.003,-0.002,-0.004,+0.03,+0.02,+0.01,+0.07,+0.03,+6.324,+0.758,+0.03,-0.03,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7512,2024-12-18,16:50:32,110,-0.005,-0.001,-0.004,-0.005,+0.01,+0.01,+0.01,+0.07,+0.05,+6.324,+0.759,+0.01,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7513,2024-12-18,16:50:32,120,-0.006,+0.000,-0.001,-0.006,+0.03,+0.01,+0.02,+0.04,+0.04,+6.324,+0.759,+0.04,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7514,2024-12-18,16:50:32,130,-0.009,-0.002,-0.002,-0.006,+0.03,+0.04,+0.03,+0.06,+0.03,+6.327,+0.759,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7515,2024-12-18,16:50:32,140,-0.007,-0.003,-0.003,-0.004,+0.01,+0.04,+0.01,+0.05,+0.02,+6.327,+0.760,+0.03,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7516,2024-12-18,16:50:32,150,-0.006,-0.001,-0.002,-0.004,+0.04,+0.02,+0.01,+0.04,+0.03,+6.327,+0.759,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7517,2024-12-18,16:50:32,160,-0.006,+0.001,-0.000,-0.006,+0.06,+0.03,+0.01,+0.06,+0.03,+6.322,+0.760,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7518,2024-12-18,16:50:32,170,-0.005,-0.002,-0.004,-0.005,+0.04,+0.01,+0.01,+0.03,+0.04,+6.326,+0.762,+0.04,+0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7519,2024-12-18,16:50:32,180,-0.006,-0.003,-0.002,-0.005,+0.04,+0.01,+0.01,+0.04,+0.04,+6.326,+0.759,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7520,2024-12-18,16:50:32,190,-0.005,-0.001,-0.003,-0.005,+0.03,+0.04,+0.01,+0.06,+0.03,+6.332,+0.761,+0.00,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7521,2024-12-18,16:50:32,200,-0.005,-0.001,-0.003,-0.005,+0.03,+0.01,+0.01,+0.04,+0.03,+6.328,+0.762,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7522,2024-12-18,16:50:32,210,-0.007,-0.002,-0.001,-0.004,+0.04,+0.04,+0.01,+0.07,+0.04,+6.330,+0.761,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7523,2024-12-18,16:50:32,220,-0.009,-0.001,-0.003,-0.005,+0.04,+0.04,+0.01,+0.04,+0.04,+6.330,+0.761,-0.01,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7524,2024-12-18,16:50:32,230,-0.007,-0.001,-0.003,-0.005,+0.03,+0.02,+0.01,+0.07,+0.04,+6.332,+0.760,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7525,2024-12-18,16:50:32,240,-0.007,-0.001,+0.001,-0.005,+0.02,+0.04,+0.01,+0.04,+0.04,+6.327,+0.762,-0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7526,2024-12-18,16:50:32,250,-0.006,-0.002,-0.004,-0.004,+0.01,+0.01,+0.03,+0.03,+0.04,+6.329,+0.760,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7527,2024-12-18,16:50:32,260,-0.005,-0.002,-0.001,-0.004,+0.01,+0.03,+0.03,+0.06,+0.01,+6.335,+0.763,+0.03,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7528,2024-12-18,16:50:32,270,-0.006,-0.001,-0.002,-0.006,+0.01,+0.01,+0.01,+0.03,+0.03,+6.332,+0.760,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7529,2024-12-18,16:50:32,280,-0.005,-0.000,-0.004,-0.004,+0.02,+0.01,+0.01,+0.04,+0.02,+6.333,+0.762,+0.01,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7530,2024-12-18,16:50:32,290,-0.005,-0.003,-0.001,-0.004,+0.05,+0.04,+0.01,+0.06,+0.04,+6.332,+0.764,+0.03,+0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7531,2024-12-18,16:50:32,300,-0.007,-0.003,-0.002,-0.005,+0.06,+0.03,+0.03,+0.04,+0.01,+6.334,+0.759,+0.03,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7532,2024-12-18,16:50:32,310,-0.007,-0.001,-0.004,-0.006,+0.04,+0.03,+0.04,+0.05,+0.01,+6.333,+0.762,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7533,2024-12-18,16:50:32,320,-0.007,+0.000,-0.001,-0.004,+0.04,+0.03,+0.02,+0.05,+0.01,+6.335,+0.759,+0.00,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7534,2024-12-18,16:50:32,330,-0.006,-0.002,-0.003,-0.004,+0.03,+0.02,+0.01,+0.06,+0.04,+6.335,+0.762,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7535,2024-12-18,16:50:32,340,-0.006,-0.002,-0.002,-0.005,+0.01,+0.02,+0.01,+0.06,+0.02,+6.335,+0.762,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7536,2024-12-18,16:50:32,350,-0.005,+0.001,-0.001,-0.006,+0.03,+0.04,+0.01,+0.07,+0.02,+6.335,+0.760,+0.02,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7537,2024-12-18,16:50:32,360,-0.005,+0.000,-0.004,-0.004,+0.02,+0.03,+0.01,+0.03,+0.03,+6.335,+0.761,+0.01,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7538,2024-12-18,16:50:32,370,-0.005,-0.003,-0.002,-0.005,+0.03,+0.03,+0.01,+0.05,+0.03,+6.335,+0.761,-0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7539,2024-12-18,16:50:32,380,-0.004,-0.002,-0.002,-0.006,+0.06,+0.01,+0.01,+0.04,+0.02,+6.336,+0.760,+0.03,-0.03,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7540,2024-12-18,16:50:32,390,-0.007,-0.002,-0.003,-0.006,+0.03,+0.01,-0.01,+0.04,+0.07,+6.340,+0.760,+0.01,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7541,2024-12-18,16:50:32,400,-0.007,+0.001,-0.002,-0.003,+0.04,+0.02,-0.02,+0.06,+0.03,+6.340,+0.761,+0.01,-0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7542,2024-12-18,16:50:32,410,-0.006,-0.003,-0.002,-0.005,+0.04,+0.01,+0.01,+0.04,+0.03,+6.339,+0.761,+0.02,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7543,2024-12-18,16:50:32,420,-0.007,-0.002,-0.004,-0.006,+0.01,+0.04,+0.03,+0.04,+0.01,+6.341,+0.762,+0.06,-0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7544,2024-12-18,16:50:32,430,-0.006,-0.001,+0.000,-0.005,+0.03,+0.04,+0.01,+0.04,+0.03,+6.340,+0.761,+0.01,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7545,2024-12-18,16:50:32,440,-0.006,-0.003,-0.003,-0.004,+0.01,+0.03,+0.01,+0.04,+0.03,+6.342,+0.762,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7546,2024-12-18,16:50:32,450,-0.006,-0.002,-0.004,-0.006,+0.03,+0.03,+0.01,+0.05,+0.02,+6.341,+0.762,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7547,2024-12-18,16:50:32,460,-0.004,-0.002,-0.001,-0.006,+0.01,+0.02,+0.01,+0.05,+0.01,+6.343,+0.763,+0.03,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7548,2024-12-18,16:50:32,470,-0.006,-0.001,-0.004,-0.004,+0.01,+0.03,+0.01,+0.04,+0.05,+6.343,+0.762,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7549,2024-12-18,16:50:32,480,-0.005,-0.001,-0.001,-0.004,+0.04,+0.03,+0.03,+0.04,+0.03,+6.344,+0.763,+0.01,-0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7550,2024-12-18,16:50:32,490,-0.007,-0.003,-0.001,-0.005,+0.02,+0.03,+0.01,+0.04,+0.01,+6.342,+0.762,+0.03,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7551,2024-12-18,16:50:32,500,-0.007,-0.002,-0.004,-0.005,+0.03,+0.01,+0.02,+0.03,+0.03,+6.343,+0.759,+0.03,-0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7552,2024-12-18,16:50:32,510,-0.006,-0.001,-0.000,-0.004,+0.04,+0.01,+0.01,+0.06,+0.01,+6.343,+0.763,+0.01,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7553,2024-12-18,16:50:32,520,-0.006,-0.001,-0.002,-0.005,-0.02,+0.03,+0.03,+0.04,+0.01,+6.340,+0.763,+0.01,+0.00,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7554,2024-12-18,16:50:32,530,-0.006,-0.003,-0.004,-0.005,+0.03,+0.03,-0.01,+0.04,+0.04,+6.346,+0.762,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7555,2024-12-18,16:50:32,540,-0.005,-0.002,-0.001,-0.006,+0.03,-0.01,+0.01,+0.04,+0.04,+6.345,+0.763,+0.04,+0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7556,2024-12-18,16:50:32,550,-0.004,-0.002,-0.003,-0.003,+0.02,+0.04,+0.03,+0.04,+0.04,+6.345,+0.761,+0.02,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7557,2024-12-18,16:50:32,560,-0.005,-0.001,-0.004,-0.004,+0.01,+0.03,+0.01,+0.04,+0.02,+6.343,+0.762,+0.00,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7558,2024-12-18,16:50:32,570,-0.005,-0.001,-0.002,-0.006,+0.02,+0.02,+0.03,+0.06,+0.04,+6.346,+0.762,+0.03,+0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7559,2024-12-18,16:50:32,580,-0.007,-0.001,-0.003,-0.004,+0.02,+0.04,+0.01,+0.02,+0.03,+6.345,+0.764,+0.01,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7560,2024-12-18,16:50:32,590,-0.008,-0.001,-0.002,-0.003,+0.02,-0.01,+0.01,+0.07,+0.04,+6.351,+0.764,+0.03,-0.03,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7561,2024-12-18,16:50:32,600,-0.007,-0.001,-0.002,-0.004,+0.03,+0.01,+0.03,+0.04,+0.03,+6.348,+0.763,+0.04,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7562,2024-12-18,16:50:32,610,-0.006,-0.002,-0.003,-0.006,+0.03,+0.04,+0.00,+0.07,+0.04,+6.349,+0.764,+0.01,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7563,2024-12-18,16:50:32,620,-0.006,-0.001,-0.001,-0.004,+0.04,+0.03,-0.02,+0.06,+0.01,+6.353,+0.763,+0.03,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7564,2024-12-18,16:50:32,630,-0.005,-0.001,-0.002,-0.003,+0.04,+0.01,+0.03,+0.03,+0.02,+6.351,+0.764,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7565,2024-12-18,16:50:32,640,-0.005,-0.003,-0.003,-0.006,-0.01,+0.04,+0.01,+0.04,+0.04,+6.349,+0.762,+0.04,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7566,2024-12-18,16:50:32,650,-0.004,-0.003,-0.001,-0.007,+0.01,+0.05,+0.01,+0.05,+0.04,+6.352,+0.762,+0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7567,2024-12-18,16:50:32,660,-0.006,-0.002,-0.001,-0.003,+0.04,+0.04,+0.01,+0.04,+0.03,+6.351,+0.764,+0.04,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7568,2024-12-18,16:50:32,670,-0.007,+0.000,-0.004,-0.005,+0.03,+0.04,+0.01,+0.05,+0.04,+6.352,+0.760,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7569,2024-12-18,16:50:32,680,-0.008,-0.002,-0.001,-0.005,+0.01,+0.02,+0.02,+0.08,+0.04,+6.352,+0.763,-0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7570,2024-12-18,16:50:32,690,-0.006,-0.002,-0.004,-0.005,+0.03,+0.03,+0.01,+0.06,+0.03,+6.351,+0.762,+0.01,-0.03,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7571,2024-12-18,16:50:32,700,-0.006,-0.000,-0.003,-0.004,+0.02,+0.01,+0.01,+0.06,+0.01,+6.353,+0.763,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7572,2024-12-18,16:50:32,710,-0.006,-0.001,-0.002,-0.004,+0.04,+0.04,+0.03,+0.04,+0.03,+6.354,+0.762,+0.02,+0.00,+0.05,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7573,2024-12-18,16:50:32,720,-0.006,-0.002,-0.002,-0.006,+0.01,+0.04,+0.01,+0.03,+0.03,+6.354,+0.763,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7574,2024-12-18,16:50:32,730,-0.006,-0.003,-0.002,-0.006,+0.03,+0.02,+0.04,+0.06,+0.03,+6.358,+0.763,+0.03,+0.03,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7575,2024-12-18,16:50:32,740,-0.005,-0.002,-0.001,-0.005,+0.04,+0.02,+0.04,+0.06,+0.04,+6.358,+0.761,+0.04,-0.04,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7576,2024-12-18,16:50:32,750,-0.006,+0.001,-0.004,-0.005,+0.04,+0.02,+0.03,+0.05,+0.03,+6.356,+0.765,+0.04,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7577,2024-12-18,16:50:32,760,-0.007,-0.002,-0.002,-0.006,+0.04,+0.02,+0.03,+0.04,+0.01,+6.358,+0.763,+0.04,-0.02,+0.00,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7578,2024-12-18,16:50:32,770,-0.006,-0.003,-0.003,-0.005,+0.05,+0.01,+0.01,+0.03,+0.02,+6.357,+0.762,+0.01,+0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7579,2024-12-18,16:50:32,780,-0.008,-0.001,-0.003,-0.004,+0.03,+0.04,+0.01,+0.04,+0.04,+6.359,+0.764,+0.03,+0.00,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7580,2024-12-18,16:50:32,790,-0.006,-0.001,-0.001,-0.005,+0.01,+0.03,+0.01,+0.05,+0.01,+6.357,+0.761,+0.00,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7581,2024-12-18,16:50:32,800,-0.006,-0.003,-0.002,-0.006,+0.04,+0.01,+0.03,+0.04,+0.02,+6.361,+0.763,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7582,2024-12-18,16:50:32,810,-0.005,-0.002,-0.004,-0.004,+0.02,+0.01,-0.01,+0.04,+0.04,+6.361,+0.762,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7583,2024-12-18,16:50:32,820,-0.005,+0.001,-0.001,-0.004,+0.04,+0.03,+0.03,+0.04,+0.01,+6.362,+0.762,+0.01,-0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7584,2024-12-18,16:50:32,830,-0.005,-0.000,-0.003,-0.006,+0.02,+0.03,+0.02,+0.06,+0.03,+6.362,+0.764,+0.03,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7585,2024-12-18,16:50:32,840,-0.006,-0.003,-0.002,-0.006,+0.04,+0.01,+0.03,+0.04,+0.01,+6.361,+0.763,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7586,2024-12-18,16:50:32,850,-0.007,-0.002,-0.002,-0.005,+0.02,+0.03,+0.01,+0.05,+0.02,+6.361,+0.763,+0.01,+0.00,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7587,2024-12-18,16:50:32,860,-0.007,-0.002,-0.004,-0.004,+0.01,+0.01,+0.03,+0.04,+0.03,+6.362,+0.763,+0.04,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7588,2024-12-18,16:50:32,870,-0.007,-0.001,-0.002,-0.006,+0.01,+0.04,-0.01,+0.07,+0.03,+6.361,+0.763,+0.04,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7589,2024-12-18,16:50:32,880,-0.006,-0.004,-0.002,-0.005,+0.04,+0.04,+0.00,+0.03,+0.03,+6.363,+0.762,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7590,2024-12-18,16:50:32,890,-0.005,-0.001,-0.003,-0.003,+0.01,+0.03,+0.01,+0.04,+0.02,+6.364,+0.761,+0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7591,2024-12-18,16:50:32,900,-0.006,-0.002,-0.001,-0.004,+0.04,+0.04,+0.03,+0.05,+0.02,+6.364,+0.762,+0.01,-0.01,+0.00,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7592,2024-12-18,16:50:32,910,-0.004,-0.001,-0.003,-0.007,+0.01,+0.03,+0.01,+0.04,+0.01,+6.364,+0.763,+0.04,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7593,2024-12-18,16:50:32,920,-0.005,-0.004,-0.004,-0.004,+0.04,+0.03,+0.01,+0.03,+0.01,+6.362,+0.763,+0.04,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7594,2024-12-18,16:50:32,930,-0.005,-0.001,-0.001,-0.005,+0.03,+0.03,+0.02,+0.04,+0.03,+6.364,+0.763,+0.01,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7595,2024-12-18,16:50:32,940,-0.006,+0.000,-0.003,-0.005,+0.01,+0.01,+0.01,+0.05,+0.01,+6.369,+0.763,+0.03,+0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7596,2024-12-18,16:50:32,950,-0.007,-0.001,-0.003,-0.006,+0.01,+0.02,+0.03,+0.04,+0.02,+6.367,+0.763,+0.00,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7597,2024-12-18,16:50:32,960,-0.009,-0.003,-0.002,-0.004,+0.01,+0.03,+0.03,+0.07,+0.02,+6.367,+0.764,+0.01,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7598,2024-12-18,16:50:32,970,-0.006,-0.002,-0.002,-0.004,+0.01,+0.04,+0.02,+0.03,+0.03,+6.368,+0.763,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7599,2024-12-18,16:50:32,980,-0.005,-0.002,-0.002,-0.006,+0.03,+0.01,+0.02,+0.04,+0.03,+6.366,+0.763,+0.01,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7600,2024-12-18,16:50:32,990,-0.005,-0.000,-0.001,-0.007,+0.03,+0.02,+0.01,+0.06,+0.03,+6.366,+0.764,+0.03,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7601,2024-12-18,16:50:33,0,-0.005,-0.003,-0.003,-0.005,+0.04,+0.01,+0.01,+0.03,+0.01,+6.372,+0.764,+0.02,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7602,2024-12-18,16:50:33,10,-0.005,-0.001,-0.001,-0.004,+0.04,+0.04,+0.01,+0.05,+0.02,+6.370,+0.762,+0.04,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7603,2024-12-18,16:50:33,20,-0.005,-0.001,-0.002,-0.006,+0.04,+0.03,+0.03,+0.04,+0.01,+6.372,+0.763,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
7604,2024-12-18,16:50:33,30,-0.006,-0.002,-0.004,-0.005,+0.04,+0.03,+0.03,+0.04,+0.04,+6.375,+0.763,+0.01,+0.03,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
