番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
10,2024-12-18,16:49:17,90,-0.007,-0.001,-0.003,-0.004,+0.03,+0.02,+0.00,+0.07,+0.03,+3.376,+0.011,+0.00,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
11,2024-12-18,16:49:17,100,-0.006,-0.001,-0.003,-0.006,+0.04,+0.02,+0.01,+0.04,+0.03,+3.376,+0.010,+0.04,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
12,2024-12-18,16:49:17,110,-0.006,-0.003,-0.001,-0.005,+0.04,+0.01,+0.01,+0.04,+0.02,+3.378,+0.009,+0.02,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
13,2024-12-18,16:49:17,120,-0.006,-0.002,-0.002,-0.004,+0.01,+0.03,+0.01,+0.04,+0.01,+3.378,+0.013,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
14,2024-12-18,16:49:17,130,-0.006,-0.000,-0.002,-0.004,+0.03,+0.03,+0.01,+0.06,+0.01,+3.377,+0.009,+0.01,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
15,2024-12-18,16:49:17,140,-0.005,-0.002,-0.002,-0.006,-0.01,+0.01,+0.01,+0.03,+0.01,+3.374,+0.013,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
16,2024-12-18,16:49:17,150,-0.005,-0.002,-0.004,-0.005,+0.03,+0.04,+0.03,+0.04,+0.01,+3.376,+0.013,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
17,2024-12-18,16:49:17,160,-0.005,-0.001,-0.001,-0.004,+0.01,+0.02,+0.02,+0.07,+0.03,+3.372,+0.010,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
18,2024-12-18,16:49:17,170,-0.006,+0.001,-0.002,-0.005,+0.01,+0.03,+0.00,+0.04,+0.01,+3.375,+0.011,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
19,2024-12-18,16:49:17,180,-0.008,-0.002,-0.004,-0.006,+0.01,+0.01,+0.04,+0.04,+0.03,+3.373,+0.013,+0.04,-0.03,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
20,2024-12-18,16:49:17,190,-0.008,-0.003,-0.002,-0.005,+0.01,+0.01,+0.01,+0.06,+0.04,+3.376,+0.013,+0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
21,2024-12-18,16:49:17,200,-0.006,-0.001,-0.002,-0.004,+0.01,+0.04,+0.03,+0.04,+0.04,+3.376,+0.011,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
22,2024-12-18,16:49:17,210,-0.006,+0.000,-0.003,-0.005,+0.04,+0.06,+0.02,+0.04,+0.04,+3.377,+0.010,+0.03,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
23,2024-12-18,16:49:17,220,-0.006,-0.002,-0.001,-0.006,+0.03,+0.01,+0.00,+0.04,+0.04,+3.376,+0.013,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
24,2024-12-18,16:49:17,230,-0.007,-0.003,-0.002,-0.004,+0.04,+0.01,+0.03,+0.04,+0.01,+3.376,+0.011,+0.03,-0.03,-0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
25,2024-12-18,16:49:17,240,-0.006,-0.001,-0.003,-0.003,+0.04,+0.01,+0.01,+0.06,+0.03,+3.376,+0.011,+0.00,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
26,2024-12-18,16:49:17,250,-0.005,+0.001,-0.002,-0.005,+0.03,+0.05,+0.01,+0.06,+0.01,+3.376,+0.013,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
27,2024-12-18,16:49:17,260,-0.006,-0.003,-0.002,-0.005,+0.03,+0.03,+0.03,+0.05,+0.01,+3.374,+0.009,+0.01,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
28,2024-12-18,16:49:17,270,-0.008,-0.002,-0.003,-0.004,+0.01,+0.03,+0.01,+0.04,+0.01,+3.374,+0.013,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
29,2024-12-18,16:49:17,280,-0.008,+0.000,-0.002,-0.004,+0.03,+0.01,+0.01,+0.04,+0.01,+3.375,+0.010,-0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
30,2024-12-18,16:49:17,290,-0.006,-0.001,-0.003,-0.006,+0.03,+0.01,+0.03,+0.04,+0.03,+3.374,+0.011,+0.01,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
31,2024-12-18,16:49:17,300,-0.006,-0.003,-0.001,-0.005,+0.03,+0.03,+0.01,+0.06,+0.03,+3.374,+0.013,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
32,2024-12-18,16:49:17,310,-0.007,-0.001,-0.004,-0.004,+0.03,+0.02,+0.00,+0.01,+0.03,+3.374,+0.008,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
33,2024-12-18,16:49:17,320,-0.006,+0.001,-0.002,-0.004,+0.04,+0.03,+0.01,+0.06,+0.06,+3.376,+0.009,+0.00,+0.00,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
34,2024-12-18,16:49:17,330,-0.005,+0.000,-0.001,-0.006,+0.04,+0.03,+0.03,+0.06,+0.00,+3.374,+0.013,+0.03,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
35,2024-12-18,16:49:17,340,-0.005,-0.003,-0.003,-0.005,+0.02,+0.04,+0.01,+0.02,+0.04,+3.376,+0.011,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
36,2024-12-18,16:49:17,350,-0.007,-0.001,-0.004,-0.005,+0.03,+0.01,+0.00,+0.05,+0.04,+3.376,+0.010,+0.03,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
37,2024-12-18,16:49:17,360,-0.008,-0.001,-0.000,-0.004,+0.03,+0.02,+0.01,+0.04,+0.06,+3.374,+0.009,+0.04,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
38,2024-12-18,16:49:17,370,-0.007,-0.001,-0.003,-0.007,+0.01,+0.04,+0.01,+0.07,+0.03,+3.376,+0.011,+0.03,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
