DICひずみ,DIC応力Mpa,ひずみ,応力,,,
0.001483239,0.339003945,0,1.540927022,接続点,,
0.001483239,0.339003945,0.0269,10.17011834,,,
0.001483239,0.339003945,0.0542,15.87154832,,,
0.000889944,0.339003945,0.0806,19.87795858,,,
0.001483239,0.339003945,0.1097,23.57618343,,,
0.000889944,0.339003945,0.136,26.19575937,,,
0.001186592,0.339003945,0.1622,28.3530572,,,
0.001779887,0.339003945,0.1883,30.04807692,,,
0.001779887,0.277366864,0.2158,31.58900394,,,
0.001483239,0.339003945,0.2423,32.51356016,,,
0.001483239,0.308185404,0.2686,33.12993097,,,
0.002076535,0.277366864,0.2946,33.43811637,,,
0.002076535,0.400641026,0.3244,33.59220907,,,
0.001779887,0.277366864,0.3517,33.59220907,,,
0.000889944,0.400641026,0.3779,33.28402367,,,
0.001483239,0.400641026,0.4038,32.97583826,,,
0.000296648,0.308185404,0.4297,32.66765286,,,
0.001186592,0.339003945,0.4594,31.89718935,,,
0.000593296,0.400641026,0.487,31.28081854,,,
0.001483239,0.400641026,0.513,30.51035503,,,
0.001483239,0.339003945,0.5398,29.43170611,,,
0.001779887,0.308185404,0.5659,27.89077909,,,
0.001483239,0.400641026,0.5948,24.96301775,,,
0.001483239,0.339003945,0.6217,22.80571992,,,
0.001483239,0.339003945,0.6475,22.18934911,,,
0.001483239,0.400641026,0.6738,22.03525641,,,
0.000889944,0.277366864,0.6999,22.18934911,,,
0.000889944,0.400641026,0.7308,22.34344181,,,
0.001186592,0.308185404,0.7565,22.34344181,,,
0.000889944,0.339003945,0.7827,22.49753452,,,
0.000889944,0.400641026,0.8087,22.49753452,,,
0.000889944,0.246548323,0.8357,22.49753452,,,
0.001483239,0.277366864,0.8645,22.65162722,,,
0.000889944,0.400641026,0.8903,22.65162722,,,
0.001483239,0.339003945,0.9164,22.80571992,,,
0.001483239,0.308185404,0.9427,22.80571992,,,
0.000889944,0.277366864,0.972,22.80571992,,,
0.001483239,0.339003945,0.998,22.80571992,,,
0.001483239,0.308185404,1.0239,22.80571992,,,
0.001779887,0.339003945,1.0501,22.95981262,,,
0.001779887,0.400641026,1.0768,22.95981262,,,
0.001483239,0.339003945,1.1072,22.95981262,,,
0.000593296,0.339003945,1.1333,23.11390533,,,
0.001483239,0.339003945,1.1597,23.26799803,,,
0.001483239,0.339003945,1.1863,23.42209073,,,
0.000889944,0.339003945,1.2128,23.42209073,,,
0.001483239,0.277366864,1.241,23.11390533,,,
0.000593296,0.339003945,1.2729,23.11390533,,,
0.000593296,0.400641026,1.2989,23.11390533,,,
0.000889944,0.400641026,1.325,23.11390533,,,
0.001483239,0.400641026,1.3511,23.11390533,,,
0.001186592,0.277366864,1.377,23.26799803,,,
0.001779887,0.339003945,1.4038,23.42209073,,,
0.001483239,0.339003945,1.4297,23.26799803,,,
0.001483239,0.339003945,1.4558,23.26799803,,,
0.000889944,0.339003945,1.4817,23.42209073,,,
0.001483239,0.308185404,1.5112,23.42209073,,,
0.000889944,0.339003945,1.5423,23.42209073,,,
0.001483239,0.339003945,1.5722,23.42209073,,,
0.002076535,0.339003945,1.5981,23.42209073,,,
0.001483239,0.277366864,1.6241,23.42209073,,,
0.000889944,0.339003945,1.6499,23.42209073,,,
0.000889944,0.339003945,1.6758,23.57618343,,,
0.001483239,0.339003945,1.7018,23.42209073,,,
0.001483239,0.339003945,1.7277,23.26799803,,,
0.001186592,0.339003945,1.7538,23.26799803,,,
0.001483239,0.339003945,1.78,23.26799803,,,
0.000889944,0.308185404,1.8062,23.42209073,,,
0.001483239,0.369822485,1.8331,23.57618343,,,
0.001483239,0.339003945,1.8591,23.42209073,,,
0.001483239,0.400641026,1.8856,23.42209073,,,
0.001483239,0.400641026,1.9121,23.42209073,,,
0.000889944,0.339003945,1.938,23.26799803,,,
0.001186592,0.339003945,1.9644,23.26799803,,,
0.000593296,0.369822485,1.9905,23.42209073,,,
0.000889944,0.339003945,2.0166,23.57618343,,,
0.000889944,0.339003945,2.043,23.57618343,,,
