番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
11,2024-12-18,17:21:45,100,-0.007,-0.001,+0.000,-0.005,+0.02,+0.03,-0.02,+0.05,+0.00,+3.314,+0.007,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
12,2024-12-18,17:21:45,110,-0.005,+0.000,-0.003,-0.004,+0.04,+0.01,+0.04,+0.04,+0.03,+3.314,+0.007,+0.01,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
13,2024-12-18,17:21:45,120,-0.006,-0.002,-0.001,-0.005,+0.01,+0.04,+0.01,+0.03,+0.01,+3.314,+0.007,+0.02,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
14,2024-12-18,17:21:45,130,-0.005,-0.004,-0.003,-0.004,+0.01,+0.04,+0.00,+0.04,+0.03,+3.313,+0.007,+0.00,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
15,2024-12-18,17:21:45,140,-0.006,-0.003,-0.001,-0.005,+0.01,+0.03,-0.01,+0.04,+0.06,+3.314,+0.006,+0.01,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
16,2024-12-18,17:21:45,150,-0.005,-0.002,-0.004,-0.006,+0.02,+0.04,+0.00,+0.04,+0.02,+3.314,+0.004,+0.04,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
17,2024-12-18,17:21:45,160,-0.005,-0.001,-0.001,-0.003,+0.01,+0.03,+0.00,+0.04,+0.03,+3.314,+0.006,+0.03,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
18,2024-12-18,17:21:45,170,-0.005,+0.001,-0.003,-0.005,+0.02,+0.01,+0.01,+0.04,+0.03,+3.315,+0.007,+0.02,-0.02,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
19,2024-12-18,17:21:45,180,-0.004,-0.001,-0.002,-0.005,+0.02,+0.03,+0.01,+0.04,+0.02,+3.315,+0.009,+0.00,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
20,2024-12-18,17:21:45,190,-0.005,-0.002,-0.002,-0.003,+0.01,+0.04,-0.01,+0.03,+0.03,+3.317,+0.007,+0.01,+0.00,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
21,2024-12-18,17:21:45,200,-0.005,-0.002,-0.002,-0.006,+0.04,+0.03,+0.01,+0.07,+0.04,+3.313,+0.004,+0.03,-0.03,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
22,2024-12-18,17:21:45,210,-0.005,-0.002,-0.001,-0.003,+0.01,+0.04,+0.01,+0.04,+0.04,+3.313,+0.004,-0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
23,2024-12-18,17:21:45,220,-0.005,-0.003,-0.004,-0.004,+0.03,+0.03,-0.01,+0.04,+0.01,+3.314,+0.007,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
24,2024-12-18,17:21:45,230,-0.006,-0.001,-0.001,-0.006,+0.04,+0.04,-0.02,+0.05,+0.02,+3.314,+0.006,+0.03,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
25,2024-12-18,17:21:45,240,-0.006,+0.000,-0.004,-0.004,+0.01,+0.04,-0.01,+0.04,+0.03,+3.314,+0.007,+0.01,-0.03,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
26,2024-12-18,17:21:45,250,-0.005,-0.002,-0.002,-0.004,+0.01,+0.02,-0.03,+0.06,+0.04,+3.314,+0.007,+0.02,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
27,2024-12-18,17:21:45,260,-0.005,-0.002,-0.003,-0.005,+0.04,+0.04,-0.04,+0.04,+0.01,+3.314,+0.009,+0.03,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
28,2024-12-18,17:21:45,270,-0.004,-0.003,-0.001,-0.003,+0.04,+0.02,+0.03,+0.07,+0.05,+3.315,+0.007,+0.03,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
29,2024-12-18,17:21:45,280,-0.005,-0.001,-0.003,-0.005,+0.01,+0.04,+0.03,+0.04,+0.04,+3.313,+0.006,+0.03,-0.03,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
30,2024-12-18,17:21:45,290,-0.005,+0.000,-0.001,-0.004,+0.01,+0.04,+0.00,+0.04,+0.04,+3.313,+0.006,+0.00,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
31,2024-12-18,17:21:45,300,-0.006,-0.001,-0.002,-0.004,+0.03,+0.01,+0.01,+0.04,+0.01,+3.314,+0.006,+0.03,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
32,2024-12-18,17:21:45,310,-0.005,-0.001,-0.003,-0.005,+0.02,+0.04,+0.03,+0.04,+0.04,+3.316,+0.005,+0.00,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
33,2024-12-18,17:21:45,320,-0.005,-0.002,-0.001,-0.004,+0.04,+0.01,+0.01,+0.05,+0.03,+3.314,+0.005,+0.03,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
34,2024-12-18,17:21:45,330,-0.005,-0.003,-0.003,-0.004,+0.03,+0.02,-0.01,+0.04,+0.04,+3.316,+0.005,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
35,2024-12-18,17:21:45,340,-0.005,-0.001,-0.001,-0.006,+0.01,+0.04,+0.02,+0.06,+0.03,+3.313,+0.004,+0.02,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
36,2024-12-18,17:21:45,350,-0.005,-0.001,-0.004,-0.004,+0.01,+0.02,+0.03,+0.06,+0.02,+3.316,+0.007,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
37,2024-12-18,17:21:45,360,-0.006,-0.001,-0.001,-0.004,+0.02,+0.04,-0.02,+0.06,+0.04,+3.316,+0.008,+0.01,-0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
38,2024-12-18,17:21:45,370,-0.005,-0.001,-0.002,-0.004,+0.03,+0.03,+0.01,+0.07,+0.03,+3.314,+0.007,+0.01,+0.01,-0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
39,2024-12-18,17:21:45,380,-0.004,+0.000,+0.000,-0.004,+0.01,+0.04,+0.01,+0.06,+0.01,+3.312,+0.007,+0.04,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
40,2024-12-18,17:21:45,390,-0.005,-0.003,-0.002,-0.006,+0.01,+0.01,+0.01,+0.03,+0.03,+3.313,+0.005,+0.01,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
41,2024-12-18,17:21:45,400,-0.005,-0.002,-0.001,-0.004,+0.01,+0.03,+0.01,+0.04,+0.04,+3.316,+0.007,-0.02,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
42,2024-12-18,17:21:45,410,-0.004,-0.002,-0.001,-0.005,+0.01,+0.04,+0.01,+0.07,+0.04,+3.314,+0.005,+0.03,-0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
43,2024-12-18,17:21:45,420,-0.005,-0.001,-0.003,-0.006,+0.04,+0.03,-0.01,+0.04,+0.02,+3.313,+0.006,+0.01,+0.02,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
44,2024-12-18,17:21:45,430,-0.004,-0.001,-0.002,-0.004,+0.01,+0.02,+0.01,+0.05,+0.02,+3.315,+0.006,+0.03,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
45,2024-12-18,17:21:45,440,-0.004,-0.001,-0.003,-0.005,+0.04,+0.04,+0.01,+0.04,+0.04,+3.315,+0.007,+0.04,-0.01,+0.06,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
46,2024-12-18,17:21:45,450,-0.005,-0.002,-0.002,-0.005,+0.04,+0.01,+0.00,+0.05,+0.03,+3.316,+0.004,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
47,2024-12-18,17:21:45,460,-0.004,-0.003,-0.004,-0.005,+0.04,+0.03,+0.01,+0.06,+0.04,+3.314,+0.008,+0.04,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
48,2024-12-18,17:21:45,470,-0.005,-0.002,-0.000,-0.006,+0.03,+0.05,+0.02,+0.07,+0.01,+3.313,+0.006,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
49,2024-12-18,17:21:45,480,-0.004,-0.001,-0.004,-0.003,+0.01,+0.04,-0.01,+0.04,+0.04,+3.316,+0.004,+0.02,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
50,2024-12-18,17:21:45,490,-0.004,+0.001,+0.001,-0.005,+0.02,+0.04,-0.01,+0.04,+0.04,+3.314,+0.007,+0.03,+0.01,+0.00,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
51,2024-12-18,17:21:45,500,-0.005,+0.000,-0.004,-0.005,+0.01,+0.01,+0.01,+0.04,+0.01,+3.314,+0.004,+0.02,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
52,2024-12-18,17:21:45,510,-0.005,-0.002,-0.001,-0.003,+0.03,+0.01,+0.01,+0.04,+0.03,+3.315,+0.005,+0.04,+0.00,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
53,2024-12-18,17:21:45,520,-0.004,-0.003,-0.002,-0.004,+0.04,+0.02,+0.01,+0.04,+0.03,+3.314,+0.007,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
54,2024-12-18,17:21:45,530,-0.005,-0.003,-0.002,-0.005,+0.01,+0.04,+0.01,+0.04,+0.05,+3.313,+0.009,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
55,2024-12-18,17:21:45,540,-0.006,-0.001,-0.002,-0.004,+0.03,+0.02,+0.00,+0.05,+0.03,+3.313,+0.006,+0.04,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
56,2024-12-18,17:21:45,550,-0.006,-0.001,-0.003,-0.006,+0.01,+0.01,+0.03,+0.06,+0.03,+3.313,+0.004,-0.01,-0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
57,2024-12-18,17:21:45,560,-0.005,-0.001,-0.003,-0.003,+0.01,+0.04,+0.03,+0.04,+0.03,+3.314,+0.007,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
58,2024-12-18,17:21:45,570,-0.006,+0.001,-0.002,-0.005,+0.04,+0.01,+0.01,+0.09,+0.03,+3.317,+0.005,+0.01,+0.02,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
59,2024-12-18,17:21:45,580,-0.006,-0.003,-0.002,-0.007,+0.01,+0.02,+0.01,+0.04,+0.05,+3.314,+0.006,+0.02,+0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
60,2024-12-18,17:21:45,590,-0.006,-0.003,-0.003,-0.003,+0.03,+0.04,+0.01,+0.03,+0.04,+3.312,+0.007,+0.01,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
61,2024-12-18,17:21:45,600,-0.006,-0.002,+0.000,-0.004,+0.04,+0.04,-0.01,+0.06,+0.04,+3.314,+0.007,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
62,2024-12-18,17:21:45,610,-0.006,-0.000,-0.003,-0.004,+0.04,+0.03,-0.01,+0.04,+0.04,+3.314,+0.004,+0.02,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
63,2024-12-18,17:21:45,620,-0.007,-0.001,+0.001,-0.004,+0.03,+0.03,+0.01,+0.07,+0.02,+3.315,+0.007,+0.03,-0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
64,2024-12-18,17:21:45,630,-0.007,+0.000,-0.002,-0.005,+0.02,+0.03,+0.02,+0.04,+0.04,+3.313,+0.006,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
65,2024-12-18,17:21:45,640,-0.006,-0.002,-0.001,-0.005,+0.01,+0.01,-0.01,+0.07,+0.01,+3.316,+0.007,+0.04,-0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
66,2024-12-18,17:21:45,650,-0.005,-0.004,-0.002,-0.005,+0.01,+0.01,+0.00,+0.06,+0.05,+3.317,+0.006,+0.01,-0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
67,2024-12-18,17:21:45,660,-0.007,-0.002,-0.003,-0.007,+0.03,+0.02,+0.01,+0.03,+0.03,+3.314,+0.004,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
68,2024-12-18,17:21:45,670,-0.006,-0.001,-0.002,-0.004,+0.04,+0.03,+0.01,+0.06,+0.01,+3.316,+0.005,+0.04,+0.03,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
69,2024-12-18,17:21:45,680,-0.006,-0.001,-0.004,-0.007,+0.02,+0.01,+0.01,+0.04,+0.03,+3.314,+0.005,+0.03,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
70,2024-12-18,17:21:45,690,-0.006,+0.000,-0.002,-0.004,+0.01,+0.04,+0.03,+0.05,+0.01,+3.316,+0.004,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
71,2024-12-18,17:21:45,700,-0.007,-0.001,-0.003,-0.003,+0.04,+0.01,+0.01,+0.04,+0.03,+3.314,+0.005,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
72,2024-12-18,17:21:45,710,-0.006,-0.002,-0.001,-0.005,+0.03,+0.01,+0.03,+0.06,+0.03,+3.311,+0.004,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
73,2024-12-18,17:21:45,720,-0.007,-0.003,-0.003,-0.004,+0.01,+0.03,+0.01,+0.06,+0.04,+3.314,+0.007,+0.02,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
74,2024-12-18,17:21:45,730,-0.007,-0.001,-0.000,-0.004,+0.03,+0.03,+0.01,+0.07,+0.01,+3.314,+0.009,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
75,2024-12-18,17:21:45,740,-0.006,-0.002,-0.003,-0.006,+0.02,+0.03,+0.02,+0.07,+0.04,+3.315,+0.007,+0.03,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
76,2024-12-18,17:21:45,750,-0.007,-0.002,-0.000,-0.003,+0.03,+0.04,+0.01,+0.04,+0.04,+3.314,+0.004,+0.00,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
77,2024-12-18,17:21:45,760,-0.006,-0.001,-0.003,-0.004,+0.04,+0.03,+0.01,+0.04,+0.04,+3.313,+0.006,+0.03,+0.00,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
78,2024-12-18,17:21:45,770,-0.007,-0.002,-0.001,-0.006,+0.03,+0.04,+0.02,+0.03,+0.01,+3.315,+0.006,+0.02,-0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
79,2024-12-18,17:21:45,780,-0.007,-0.003,-0.002,-0.004,+0.02,+0.04,+0.01,+0.04,+0.03,+3.314,+0.006,+0.03,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
80,2024-12-18,17:21:45,790,-0.007,-0.003,-0.003,-0.005,+0.04,+0.04,+0.02,+0.04,+0.04,+3.314,+0.004,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
81,2024-12-18,17:21:45,800,-0.008,-0.001,-0.001,-0.004,+0.04,+0.01,+0.02,+0.04,+0.04,+3.314,+0.006,+0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
82,2024-12-18,17:21:45,810,-0.008,-0.001,-0.003,-0.004,+0.04,+0.04,+0.01,+0.06,+0.03,+3.314,+0.006,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
83,2024-12-18,17:21:45,820,-0.008,+0.000,-0.001,-0.004,+0.02,+0.05,+0.01,+0.06,+0.04,+3.313,+0.009,+0.04,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
84,2024-12-18,17:21:45,830,-0.007,-0.001,-0.003,-0.005,+0.01,+0.02,+0.01,+0.07,+0.04,+3.316,+0.009,+0.01,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
85,2024-12-18,17:21:45,840,-0.008,-0.002,-0.001,-0.005,+0.04,+0.04,+0.01,+0.06,+0.01,+3.312,+0.007,+0.03,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
86,2024-12-18,17:21:45,850,-0.007,-0.004,-0.003,-0.005,+0.03,+0.03,+0.01,+0.05,+0.03,+3.313,+0.005,-0.04,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
87,2024-12-18,17:21:45,860,-0.007,-0.001,-0.001,-0.004,+0.01,+0.02,+0.03,+0.06,+0.02,+3.314,+0.004,+0.01,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
88,2024-12-18,17:21:45,870,-0.008,-0.001,-0.002,-0.005,+0.05,+0.03,-0.01,+0.07,+0.01,+3.313,+0.006,+0.03,+0.02,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
89,2024-12-18,17:21:45,880,-0.007,-0.001,-0.001,-0.004,+0.04,+0.03,+0.01,+0.05,+0.02,+3.313,+0.004,+0.04,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
90,2024-12-18,17:21:45,890,-0.007,-0.002,-0.002,-0.004,+0.01,+0.03,-0.01,+0.04,+0.04,+3.313,+0.004,+0.03,+0.01,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
91,2024-12-18,17:21:45,900,-0.007,-0.002,-0.002,-0.006,+0.03,+0.01,+0.01,+0.04,+0.02,+3.316,+0.005,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
92,2024-12-18,17:21:45,910,-0.007,-0.003,-0.001,-0.004,+0.04,+0.03,+0.02,+0.05,+0.01,+3.316,+0.007,+0.02,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
93,2024-12-18,17:21:45,920,-0.006,-0.003,-0.003,-0.005,+0.01,+0.05,-0.02,+0.04,+0.04,+3.315,+0.006,+0.00,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
94,2024-12-18,17:21:45,930,-0.008,-0.002,-0.000,-0.006,+0.04,+0.03,+0.01,+0.06,+0.03,+3.316,+0.008,+0.03,+0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
