DICひずみ,DIC応力
0.001812141,0.206491503
0.001510118,0.235990289
0,0.147493931
0.000604047,0.117995144
0.001510118,0.147493931
0.000906071,0.206491503
0.000604047,0.206491503
0.000906071,0.176992717
0.000302024,0.206491503
0.001208094,0.147493931
0.000906071,0.206491503
0.000906071,0.206491503
0.000906071,0.206491503
0.000604047,0.206491503
0.000906071,0.176992717
0.000906071,0.117995144
0.000906071,0.176992717
0.001208094,0.206491503
0.001208094,0.265489075
0.001812141,0.206491503
0.000604047,0.117995144
0.000604047,0.117995144
0.000906071,0.206491503
0.000906071,0.176992717
0.000906071,0.206491503
0.000906071,0.206491503
0.000906071,0.265489075
0.001208094,0.206491503
0.000604047,0.176992717
0.000604047,0.176992717
0.000906071,0.176992717
0.001510118,0.147493931
0.000906071,0.147493931
0.001510118,0.147493931
0.000604047,0.117995144
0.001510118,0.206491503
0.001510118,0.235990289
0.000906071,0.206491503
0.000302024,0.206491503
0.000604047,0.147493931
0.001510118,0.206491503
0.000906071,0.147493931
0.000604047,0.176992717
0.001208094,0.176992717
0.001208094,0.206491503
0.001510118,0.117995144
0.000906071,0.235990289
0.000604047,0.176992717
0.001510118,0.117995144
0.000906071,0.206491503
0.000906071,0.117995144
0.001208094,0.147493931
0.000906071,0.206491503
0.000604047,0.265489075
0.000604047,0.176992717
0.000604047,0.117995144
0.000906071,0.206491503
0.001812141,0.147493931
0.000906071,0.176992717
0.000302024,0.206491503
0.000906071,0.206491503
0.000906071,0.117995144
0.001208094,0.206491503
0.000604047,0.176992717
0.001510118,0.206491503
0.001812141,0.176992717
0.000906071,0.117995144
0.001510118,0.147493931
0.000906071,0.147493931
0.001510118,0.117995144
0.000906071,0.147493931
0,0.117995144
0.000906071,0.206491503
0.000906071,0.265489075
0.001208094,0.206491503
0.000906071,0.117995144
0.000604047,0.176992717
0.001208094,0.176992717
0.000906071,0.176992717
0.000906071,0.117995144
0.000906071,0.176992717
0.000906071,0.176992717
0.000604047,0.265489075
0.001510118,0.265489075
0.000302024,0.206491503
0.000604047,0.147493931
0.000906071,0.117995144
0.000604047,0.176992717
0.000604047,0.117995144
0.000604047,0.117995144
0.001510118,0.147493931
0.001510118,0.206491503
0.001208094,0.176992717
0.001510118,0.235990289
0.001812141,0.265489075
0.000604047,0.265489075
0.000604047,0.147493931
0.000906071,0.176992717
0.001510118,0.206491503
0.001510118,0.117995144
0.000604047,0.206491503
0.001812141,0.206491503
0.000906071,0.117995144
0.000906071,0.176992717
0.000302024,0.176992717
0.000604047,0.147493931
0.000604047,0.147493931
0.000604047,0.176992717
0.000906071,0.147493931
0.000604047,0.235990289
0.000604047,0.206491503
0.001510118,0.235990289
0.000906071,0.206491503
0.000604047,0.176992717
0.000604047,0.176992717
0.000604047,0.176992717
0.001510118,0.206491503
0.001510118,0.117995144
0.000604047,0.206491503
0.001510118,0.206491503
0.001510118,0.147493931
0.001510118,0.206491503
0.000604047,0.206491503
0.000906071,0.117995144
0.000906071,0.206491503
0.001208094,0.206491503
0.000906071,0.117995144
0.000906071,0.147493931
0.001510118,0.147493931
0.000906071,0.176992717
0.000906071,0.235990289
0.000906071,0.117995144
0.000906071,0.117995144
0.000906071,0.176992717
0.001510118,0.176992717
0.000906071,0.117995144
0.000302024,0.206491503
0.000906071,0.176992717
0.001208094,0.206491503
0.000604047,0.117995144
0.000604047,0.235990289
0.000906071,0.265489075
0.000604047,0.206491503
0.000906071,0.117995144
0.000906071,0.206491503
0.001510118,0.206491503
0.001812141,0.176992717
0.000906071,0.206491503
0.000906071,0.206491503
0.001208094,0.206491503
0.000604047,0.206491503
0.000906071,0.206491503
0.000604047,0.206491503
0.000906071,0.176992717
0.000906071,0.117995144
0.000906071,0.206491503
0.001510118,0.117995144
0.000906071,0.235990289
0.000604047,0.206491503
0.001510118,0.235990289
0.000906071,0.206491503
0.000604047,0.206491503
0.000604047,0.117995144
0.001208094,0.117995144
0.001510118,0.206491503
0.000604047,0.147493931
0.000906071,0.176992717
0.000906071,0.176992717
0.001812141,0.176992717
0.001208094,0.206491503
0.001510118,0.176992717
0.000906071,0.176992717
0.001510118,0.176992717
