傷ありσ, 傷ln(σ),傷F(σ),傷ln(ln),σ, ln(σ),F(σ),ln(ln)
56.61484411,4.036271214,0.166666667,-1.701983355,33.82758621,3.52127663,0.166666667,-1.701983355
63.62548263,4.15301406,0.333333333,-0.902720456,41.64023211,3.729066818,0.333333333,-0.902720456
68.92495174,4.233018257,0.5,-0.366512921,43.74418605,3.778358714,0.5,-0.366512921
78.03468208,4.35715337,0.666666667,0.094047828,47.05019305,3.851214969,0.666666667,0.094047828
93.82239382,4.541403568,0.833333333,0.583198081,51.41592118,3.939947875,0.833333333,0.583198081
