時間[sec],試験力[kN],ストローク[mm],ひずみ[×10-6],荷重[N],モーメント[Nmm],断面二次モーメント,応力[Mpa]
36.1,0.0374375,0.3,412,18.71875,280.78125,,38.34063496
36.15,0.0371875,0.3,412,18.59375,278.90625,,38.08460401
36.2,0.03725,0.301,412,18.625,279.375,,38.14861174
36.25,0.0375,0.301,412,18.75,281.25,,38.40464269
36.3,0.0375,0.302,412,18.75,281.25,,38.40464269
36.35,0.0375,0.302,412,18.75,281.25,,38.40464269
36.4,0.0375,0.302,416,18.75,281.25,,38.40464269
36.45,0.0377,0.303,416,18.85,282.75,,38.60946746
36.5,0.0378,0.303,416,18.9,283.5,,38.71187984
36.55,0.0377,0.304,412,18.85,282.75,,38.60946746
36.6,0.0378,0.304,416,18.9,283.5,,38.71187984
36.65,0.0380625,0.305,420,19.03125,285.46875,,38.98071234
36.7,0.038,0.305,416,19,285,,38.9167046
36.75,0.0379375,0.305,420,18.96875,284.53125,,38.85269686
36.8,0.0380625,0.306,420,19.03125,285.46875,,38.98071234
36.85,0.03825,0.306,420,19.125,286.875,,39.17273555
36.9,0.0382,0.307,424,19.1,286.5,,39.12152936
36.95,0.0381875,0.307,420,19.09375,286.40625,,39.10872781
37,0.038375,0.307,424,19.1875,287.8125,,39.30075102
37.05,0.0386,0.308,424,19.3,289.5,,39.53117888
37.1,0.0384375,0.308,424,19.21875,288.28125,,39.36475876
37.15,0.038625,0.309,424,19.3125,289.6875,,39.55678198
37.2,0.0388125,0.309,424,19.40625,291.09375,,39.74880519
37.25,0.0388,0.31,424,19.4,291,,39.73600364
37.3,0.038625,0.31,424,19.3125,289.6875,,39.55678198
37.35,0.0388125,0.31,428,19.40625,291.09375,,39.74880519
37.4,0.039,0.311,428,19.5,292.5,,39.9408284
37.45,0.039,0.311,428,19.5,292.5,,39.9408284
37.5,0.0388,0.312,428,19.4,291,,39.73600364
37.55,0.0390625,0.312,428,19.53125,292.96875,,40.00483614
37.6,0.0393,0.312,428,19.65,294.75,,40.24806554
37.65,0.0392,0.313,432,19.6,294,,40.14565316
37.7,0.0393,0.313,428,19.65,294.75,,40.24806554
37.75,0.0394,0.314,432,19.7,295.5,,40.35047792
37.8,0.0397,0.314,432,19.85,297.75,,40.65771507
37.85,0.0395,0.315,432,19.75,296.25,,40.4528903
37.9,0.0395625,0.315,432,19.78125,296.71875,,40.51689804
37.95,0.0398125,0.315,436,19.90625,298.59375,,40.77292899
38,0.0398125,0.316,432,19.90625,298.59375,,40.77292899
38.05,0.0398125,0.316,436,19.90625,298.59375,,40.77292899
38.1,0.0398,0.317,432,19.9,298.5,,40.76012745
38.15,0.040125,0.317,440,20.0625,300.9375,,41.09296768
38.2,0.0399,0.317,436,19.95,299.25,,40.86253983
38.25,0.04,0.318,440,20,300,,40.96495221
38.3,0.0401,0.318,440,20.05,300.75,,41.06736459
38.35,0.0403125,0.319,444,20.15625,302.34375,,41.2849909
38.4,0.0402,0.319,440,20.1,301.5,,41.16977697
38.45,0.040375,0.32,444,20.1875,302.8125,,41.34899863
38.5,0.0405625,0.32,440,20.28125,304.21875,,41.54102185
38.55,0.0406875,0.32,444,20.34375,305.15625,,41.66903732
38.6,0.0405,0.321,440,20.25,303.75,,41.47701411
38.65,0.0405,0.321,448,20.25,303.75,,41.47701411
38.7,0.0408,0.322,440,20.4,306,,41.78425125
38.75,0.0408,0.322,448,20.4,306,,41.78425125
38.8,0.0408125,0.322,444,20.40625,306.09375,,41.7970528
38.85,0.0408,0.323,452,20.4,306,,41.78425125
38.9,0.0410625,0.323,444,20.53125,307.96875,,42.05308375
38.95,0.041,0.324,456,20.5,307.5,,41.98907601
39,0.041,0.324,448,20.5,307.5,,41.98907601
39.05,0.0412,0.325,452,20.6,309,,42.19390077
39.1,0.0413,0.325,448,20.65,309.75,,42.29631315
39.15,0.04125,0.325,456,20.625,309.375,,42.24510696
39.2,0.04125,0.326,448,20.625,309.375,,42.24510696
39.25,0.0415,0.326,452,20.75,311.25,,42.50113792
39.3,0.041625,0.327,448,20.8125,312.1875,,42.62915339
39.35,0.0414,0.327,456,20.7,310.5,,42.39872553
39.4,0.0415,0.327,452,20.75,311.25,,42.50113792
39.45,0.0418,0.328,460,20.9,313.5,,42.80837506
39.5,0.041875,0.328,448,20.9375,314.0625,,42.88518434
39.55,0.04175,0.329,460,20.875,313.125,,42.75716887
39.6,0.0418,0.329,452,20.9,313.5,,42.80837506
39.65,0.042125,0.33,464,21.0625,315.9375,,43.14121529
39.7,0.0419375,0.33,452,20.96875,314.53125,,42.94919208
39.75,0.042,0.33,460,21,315,,43.01319982
39.8,0.0422,0.331,456,21.1,316.5,,43.21802458
39.85,0.0423125,0.331,464,21.15625,317.34375,,43.33323851
39.9,0.0423,0.332,460,21.15,317.25,,43.32043696
39.95,0.0423125,0.332,460,21.15625,317.34375,,43.33323851
40,0.042625,0.332,460,21.3125,319.6875,,43.6532772
40.05,0.042625,0.333,464,21.3125,319.6875,,43.6532772
40.1,0.0425,0.333,460,21.25,318.75,,43.52526172
40.15,0.0427,0.334,464,21.35,320.25,,43.73008648
40.2,0.0428,0.334,464,21.4,321,,43.83249886
40.25,0.04275,0.335,468,21.375,320.625,,43.78129267
40.3,0.0428,0.335,468,21.4,321,,43.83249886
40.35,0.0429,0.335,468,21.45,321.75,,43.93491124
40.4,0.0431,0.336,468,21.55,323.25,,44.139736
40.45,0.043,0.336,468,21.5,322.5,,44.03732362
40.5,0.043,0.337,468,21.5,322.5,,44.03732362
40.55,0.0431875,0.337,472,21.59375,323.90625,,44.22934684
40.6,0.0434,0.337,472,21.7,325.5,,44.44697315
40.65,0.0432,0.338,472,21.6,324,,44.24214838
40.7,0.043375,0.338,472,21.6875,325.3125,,44.42137005
40.75,0.0435625,0.339,476,21.78125,326.71875,,44.61339326
40.8,0.0437,0.339,476,21.85,327.75,,44.75421029
40.85,0.0435,0.34,476,21.75,326.25,,44.54938553
40.9,0.043625,0.34,476,21.8125,327.1875,,44.677401
40.95,0.043875,0.34,476,21.9375,329.0625,,44.93343195
41,0.0438125,0.341,476,21.90625,328.59375,,44.86942421
41.05,0.0438125,0.341,480,21.90625,328.59375,,44.86942421
41.1,0.0438125,0.342,480,21.90625,328.59375,,44.86942421
41.15,0.0441875,0.342,480,22.09375,331.40625,,45.25347064
41.2,0.044,0.342,480,22,330,,45.06144743
41.25,0.0439375,0.343,484,21.96875,329.53125,,44.99743969
41.3,0.044125,0.343,480,22.0625,330.9375,,45.1894629
41.35,0.0444,0.344,484,22.2,333,,45.47109695
41.4,0.044125,0.344,480,22.0625,330.9375,,45.1894629
41.45,0.0443125,0.345,484,22.15625,332.34375,,45.38148612
41.5,0.0445625,0.345,484,22.28125,334.21875,,45.63751707
41.55,0.044625,0.345,488,22.3125,334.6875,,45.70152481
41.6,0.0445625,0.346,484,22.28125,334.21875,,45.63751707
41.65,0.044625,0.346,492,22.3125,334.6875,,45.70152481
41.7,0.0448,0.347,488,22.4,336,,45.88074647
41.75,0.0448125,0.347,488,22.40625,336.09375,,45.89354802
41.8,0.0448,0.347,488,22.4,336,,45.88074647
41.85,0.045,0.348,492,22.5,337.5,,46.08557123
41.9,0.0452,0.348,488,22.6,339,,46.29039599
41.95,0.045,0.349,496,22.5,337.5,,46.08557123
42,0.0451,0.349,488,22.55,338.25,,46.18798361
42.05,0.0451875,0.35,496,22.59375,338.90625,,46.27759445
42.1,0.0454375,0.35,492,22.71875,340.78125,,46.5336254
42.15,0.0453125,0.35,496,22.65625,339.84375,,46.40560992
42.2,0.045375,0.351,492,22.6875,340.3125,,46.46961766
42.25,0.0455,0.351,496,22.75,341.25,,46.59763314
42.3,0.0455625,0.352,492,22.78125,341.71875,,46.66164087
42.35,0.0455,0.352,500,22.75,341.25,,46.59763314
42.4,0.0457,0.352,496,22.85,342.75,,46.8024579
42.45,0.0459375,0.353,504,22.96875,344.53125,,47.0456873
42.5,0.0459375,0.353,496,22.96875,344.53125,,47.0456873
42.55,0.0458,0.354,500,22.9,343.5,,46.90487028
42.6,0.045875,0.354,496,22.9375,344.0625,,46.98167956
42.65,0.0461875,0.355,500,23.09375,346.40625,,47.30171825
42.7,0.046,0.355,500,23,345,,47.10969504
42.75,0.046,0.355,504,23,345,,47.10969504
42.8,0.0463,0.356,504,23.15,347.25,,47.41693218
42.85,0.0464375,0.356,508,23.21875,348.28125,,47.5577492
42.9,0.0461875,0.357,504,23.09375,346.40625,,47.30171825
42.95,0.0463,0.357,508,23.15,347.25,,47.41693218
43,0.0466,0.357,504,23.3,349.5,,47.72416932
43.05,0.0466,0.358,512,23.3,349.5,,47.72416932
43.1,0.0465625,0.358,504,23.28125,349.21875,,47.68576468
43.15,0.0466875,0.359,512,23.34375,350.15625,,47.81378015
43.2,0.0468,0.359,508,23.4,351,,47.92899408
43.25,0.0468,0.36,512,23.4,351,,47.92899408
43.3,0.04675,0.36,512,23.375,350.625,,47.87778789
43.35,0.047,0.36,512,23.5,352.5,,48.13381884
43.4,0.047125,0.361,512,23.5625,353.4375,,48.26183432
43.45,0.047,0.361,512,23.5,352.5,,48.13381884
43.5,0.0472,0.362,512,23.6,354,,48.3386436
43.55,0.0473125,0.362,516,23.65625,354.84375,,48.45385753
43.6,0.0474,0.362,512,23.7,355.5,,48.54346837
43.65,0.0473,0.363,520,23.65,354.75,,48.44105599
43.7,0.0474375,0.363,512,23.71875,355.78125,,48.58187301
43.75,0.0476,0.364,520,23.8,357,,48.74829313
43.8,0.047625,0.364,516,23.8125,357.1875,,48.77389622
43.85,0.0475625,0.365,520,23.78125,356.71875,,48.70988848
43.9,0.0476875,0.365,516,23.84375,357.65625,,48.83790396
43.95,0.048,0.365,520,24,360,,49.15794265
44,0.0478,0.366,520,23.9,358.5,,48.95311789
44.05,0.0478125,0.366,520,23.90625,358.59375,,48.96591944
44.1,0.048,0.367,520,24,360,,49.15794265
44.15,0.04825,0.367,524,24.125,361.875,,49.4139736
44.2,0.048,0.367,520,24,360,,49.15794265
44.25,0.0481,0.368,524,24.05,360.75,,49.26035503
44.3,0.0483125,0.368,524,24.15625,362.34375,,49.47798134
44.35,0.0484,0.369,524,24.2,363,,49.56759217
44.4,0.048375,0.369,524,24.1875,362.8125,,49.54198908
44.45,0.0484375,0.37,524,24.21875,363.28125,,49.60599681
44.5,0.048625,0.37,528,24.3125,364.6875,,49.79802003
44.55,0.0487,0.37,528,24.35,365.25,,49.87482931
44.6,0.0485,0.371,528,24.25,363.75,,49.67000455
44.65,0.0487,0.371,528,24.35,365.25,,49.87482931
44.7,0.0489,0.372,528,24.45,366.75,,50.07965407
44.75,0.04875,0.372,532,24.375,365.625,,49.9260355
44.8,0.048875,0.372,532,24.4375,366.5625,,50.05405098
44.85,0.0489375,0.373,532,24.46875,367.03125,,50.11805872
44.9,0.0492,0.373,532,24.6,369,,50.38689122
44.95,0.0490625,0.374,532,24.53125,367.96875,,50.24607419
45,0.0492,0.374,532,24.6,369,,50.38689122
45.05,0.0494375,0.375,536,24.71875,370.78125,,50.63012062
45.1,0.0494375,0.375,532,24.71875,370.78125,,50.63012062
45.15,0.0493,0.375,536,24.65,369.75,,50.4893036
45.2,0.0493,0.376,540,24.65,369.75,,50.4893036
45.25,0.0496875,0.376,536,24.84375,372.65625,,50.88615157
45.3,0.0495,0.377,540,24.75,371.25,,50.69412836
45.35,0.0495,0.377,540,24.75,371.25,,50.69412836
45.4,0.0497,0.377,540,24.85,372.75,,50.89895312
45.45,0.0499375,0.378,544,24.96875,374.53125,,51.14218252
45.5,0.04975,0.378,540,24.875,373.125,,50.95015931
45.55,0.0499,0.379,544,24.95,374.25,,51.10377788
45.6,0.05,0.379,544,25,375,,51.20619026
45.65,0.050125,0.38,544,25.0625,375.9375,,51.33420574
45.7,0.0501,0.38,544,25.05,375.75,,51.30860264
45.75,0.050125,0.38,544,25.0625,375.9375,,51.33420574
45.8,0.0503125,0.381,544,25.15625,377.34375,,51.52622895
45.85,0.0505,0.381,544,25.25,378.75,,51.71825216
45.9,0.0503,0.382,544,25.15,377.25,,51.5134274
45.95,0.0504375,0.382,548,25.21875,378.28125,,51.65424442
46,0.0507,0.382,548,25.35,380.25,,51.92307692
46.05,0.05075,0.383,548,25.375,380.625,,51.97428311
46.1,0.050625,0.383,548,25.3125,379.6875,,51.84626764
46.15,0.05075,0.384,552,25.375,380.625,,51.97428311
46.2,0.051,0.384,548,25.5,382.5,,52.23031406
46.25,0.0508125,0.385,552,25.40625,381.09375,,52.03829085
46.3,0.050875,0.385,552,25.4375,381.5625,,52.10229859
46.35,0.051,0.385,556,25.5,382.5,,52.23031406
46.4,0.0513,0.386,552,25.65,384.75,,52.53755121
46.45,0.051125,0.386,556,25.5625,383.4375,,52.35832954
46.5,0.0511875,0.387,556,25.59375,383.90625,,52.42233728
46.55,0.0513125,0.387,556,25.65625,384.84375,,52.55035275
46.6,0.0515,0.387,556,25.75,386.25,,52.74237597
46.65,0.0514,0.388,556,25.7,385.5,,52.63996359
46.7,0.0514375,0.388,556,25.71875,385.78125,,52.67836823
46.75,0.0517,0.389,560,25.85,387.75,,52.94720073
46.8,0.0517,0.389,560,25.85,387.75,,52.94720073
46.85,0.0515625,0.39,560,25.78125,386.71875,,52.80638371
46.9,0.0516875,0.39,560,25.84375,387.65625,,52.93439918
46.95,0.0519375,0.39,560,25.96875,389.53125,,53.19043013
47,0.0519,0.391,560,25.95,389.25,,53.15202549
47.05,0.0518125,0.391,560,25.90625,388.59375,,53.06241466
47.1,0.052,0.392,564,26,390,,53.25443787
47.15,0.0523,0.392,564,26.15,392.25,,53.56167501
47.2,0.052125,0.392,564,26.0625,390.9375,,53.38245335
47.25,0.0521,0.393,564,26.05,390.75,,53.35685025
47.3,0.0523,0.393,568,26.15,392.25,,53.56167501
47.35,0.0525,0.394,564,26.25,393.75,,53.76649977
47.4,0.0523,0.394,568,26.15,392.25,,53.56167501
47.45,0.0524375,0.395,568,26.21875,393.28125,,53.70249203
47.5,0.0525,0.395,572,26.25,393.75,,53.76649977
47.55,0.05275,0.395,568,26.375,395.625,,54.02253072
47.6,0.0525625,0.396,572,26.28125,394.21875,,53.83050751
47.65,0.05275,0.396,568,26.375,395.625,,54.02253072
47.7,0.053,0.397,572,26.5,397.5,,54.27856168
47.75,0.053,0.397,568,26.5,397.5,,54.27856168
47.8,0.0529,0.397,576,26.45,396.75,,54.17614929
47.85,0.053,0.398,572,26.5,397.5,,54.27856168
47.9,0.05325,0.398,576,26.625,399.375,,54.53459263
47.95,0.0531875,0.399,576,26.59375,398.90625,,54.47058489
48,0.05325,0.399,576,26.625,399.375,,54.53459263
48.05,0.0533,0.4,576,26.65,399.75,,54.58579882
48.1,0.0536,0.4,580,26.8,402,,54.89303596
48.15,0.0535,0.4,576,26.75,401.25,,54.79062358
48.2,0.0534,0.401,580,26.7,400.5,,54.6882112
48.25,0.053625,0.401,580,26.8125,402.1875,,54.91863905
48.3,0.0538,0.402,580,26.9,403.5,,55.09786072
48.35,0.0536875,0.402,580,26.84375,402.65625,,54.98264679
48.4,0.05375,0.402,584,26.875,403.125,,55.04665453
48.45,0.054,0.403,580,27,405,,55.30268548
48.5,0.054,0.403,584,27,405,,55.30268548
48.55,0.054,0.404,580,27,405,,55.30268548
48.6,0.054,0.404,588,27,405,,55.30268548
48.65,0.0543,0.405,580,27.15,407.25,,55.60992262
48.7,0.0541,0.405,588,27.05,405.75,,55.40509786
48.75,0.054125,0.405,580,27.0625,405.9375,,55.43070096
48.8,0.05425,0.406,592,27.125,406.875,,55.55871643
48.85,0.0545625,0.406,584,27.28125,409.21875,,55.87875512
48.9,0.0545,0.407,592,27.25,408.75,,55.81474738
48.95,0.0545,0.407,584,27.25,408.75,,55.81474738
49,0.0547,0.407,592,27.35,410.25,,56.01957214
49.05,0.0548,0.408,588,27.4,411,,56.12198452
49.1,0.0547,0.408,592,27.35,410.25,,56.01957214
49.15,0.0548,0.409,588,27.4,411,,56.12198452
49.2,0.0549,0.409,596,27.45,411.75,,56.2243969
49.25,0.055,0.41,592,27.5,412.5,,56.32680929
49.3,0.0548,0.41,600,27.4,411,,56.12198452
49.35,0.055,0.41,592,27.5,412.5,,56.32680929
49.4,0.0553,0.411,600,27.65,414.75,,56.63404643
49.45,0.0553,0.411,,27.65,414.75,,56.63404643
49.5,0.0552,0.412,,27.6,414,,56.53163405
49.55,0.0435625,0.412,,21.78125,326.71875,,44.61339326
49.6,0.0171875,0.412,,8.59375,128.90625,,17.6021279
49.65,0,0.413,,0,0,,0
49.7,-0.00547,0.413,,-2.735,-41.025,,-5.601957214
49.75,-0.00522,0.414,,-2.61,-39.15,,-5.345926263
49.8,-0.00334,0.414,,-1.67,-25.05,,-3.420573509
49.85,-0.00247,0.415,,-1.235,-18.525,,-2.529585799
49.9,-0.00216,0.415,,-1.08,-16.2,,-2.212107419
49.95,-0.00209,0.415,,-1.045,-15.675,,-2.140418753
50,-0.002,0.416,,-1,-15,,-2.04824761
50.05,-0.0023125,0.416,,-1.15625,-17.34375,,-2.368286299
50.1,-0.0023125,0.417,,-1.15625,-17.34375,,-2.368286299
50.15,-0.002125,0.417,,-1.0625,-15.9375,,-2.176263086
50.2,-0.00216,0.417,,-1.08,-16.2,,-2.212107419
50.25,-0.002375,0.418,,-1.1875,-17.8125,,-2.432294037
50.3,-0.0023125,0.418,,-1.15625,-17.34375,,-2.368286299
50.35,-0.00216,0.419,,-1.08,-16.2,,-2.212107419
50.4,-0.00228,0.419,,-1.14,-17.1,,-2.335002276
50.45,-0.00234,0.42,,-1.17,-17.55,,-2.396449704
50.5,-0.0023125,0.42,,-1.15625,-17.34375,,-2.368286299
50.55,-0.002125,0.42,,-1.0625,-15.9375,,-2.176263086
50.6,-0.00234,0.421,,-1.17,-17.55,,-2.396449704
50.65,-0.002375,0.421,,-1.1875,-17.8125,,-2.432294037
50.7,-0.00228,0.422,,-1.14,-17.1,,-2.335002276
50.75,-0.0021875,0.422,,-1.09375,-16.40625,,-2.240270824
50.8,-0.00234,0.422,,-1.17,-17.55,,-2.396449704
50.85,-0.00241,0.423,,-1.205,-18.075,,-2.468138371
50.9,-0.002125,0.423,,-1.0625,-15.9375,,-2.176263086
50.95,-0.00216,0.424,,-1.08,-16.2,,-2.212107419
51,-0.002375,0.424,,-1.1875,-17.8125,,-2.432294037
51.05,-0.00228,0.425,,-1.14,-17.1,,-2.335002276
51.1,-0.00216,0.425,,-1.08,-16.2,,-2.212107419
51.15,-0.00225,0.425,,-1.125,-16.875,,-2.304278562
51.2,-0.00241,0.426,,-1.205,-18.075,,-2.468138371
51.25,-0.00234,0.426,,-1.17,-17.55,,-2.396449704
51.3,-0.00216,0.427,,-1.08,-16.2,,-2.212107419
51.35,-0.002375,0.427,,-1.1875,-17.8125,,-2.432294037
51.4,-0.00241,0.427,,-1.205,-18.075,,-2.468138371
51.45,-0.00225,0.428,,-1.125,-16.875,,-2.304278562
51.5,-0.002125,0.428,,-1.0625,-15.9375,,-2.176263086
51.55,-0.002375,0.429,,-1.1875,-17.8125,,-2.432294037
51.6,-0.0023125,0.429,,-1.15625,-17.34375,,-2.368286299
51.65,-0.00216,0.43,,-1.08,-16.2,,-2.212107419
51.7,-0.002125,0.43,,-1.0625,-15.9375,,-2.176263086
51.75,-0.002375,0.43,,-1.1875,-17.8125,,-2.432294037
51.8,-0.0023125,0.431,,-1.15625,-17.34375,,-2.368286299
51.85,-0.00209,0.431,,-1.045,-15.675,,-2.140418753
51.9,-0.00225,0.432,,-1.125,-16.875,,-2.304278562
51.95,-0.00234,0.432,,-1.17,-17.55,,-2.396449704
52,-0.0023125,0.432,,-1.15625,-17.34375,,-2.368286299
52.05,-0.00209,0.433,,-1.045,-15.675,,-2.140418753
52.1,-0.0023125,0.433,,-1.15625,-17.34375,,-2.368286299
52.15,-0.00228,0.434,,-1.14,-17.1,,-2.335002276
52.2,-0.00228,0.434,,-1.14,-17.1,,-2.335002276
52.25,-0.002125,0.435,,-1.0625,-15.9375,,-2.176263086
52.3,-0.00234,0.435,,-1.17,-17.55,,-2.396449704
52.35,-0.00234,0.435,,-1.17,-17.55,,-2.396449704
52.4,-0.002125,0.436,,-1.0625,-15.9375,,-2.176263086
52.45,-0.0021875,0.436,,-1.09375,-16.40625,,-2.240270824
52.5,-0.002375,0.437,,-1.1875,-17.8125,,-2.432294037
52.55,-0.00225,0.437,,-1.125,-16.875,,-2.304278562
52.6,-0.0021875,0.437,,-1.09375,-16.40625,,-2.240270824
52.65,-0.0023125,0.438,,-1.15625,-17.34375,,-2.368286299
52.7,-0.00234,0.438,,-1.17,-17.55,,-2.396449704
52.75,-0.00228,0.439,,-1.14,-17.1,,-2.335002276
52.8,-0.00216,0.439,,-1.08,-16.2,,-2.212107419
52.85,-0.0023125,0.44,,-1.15625,-17.34375,,-2.368286299
52.9,-0.002375,0.44,,-1.1875,-17.8125,,-2.432294037
52.95,-0.00225,0.44,,-1.125,-16.875,,-2.304278562
53,-0.002125,0.441,,-1.0625,-15.9375,,-2.176263086
53.05,-0.002375,0.441,,-1.1875,-17.8125,,-2.432294037
53.1,-0.002375,0.442,,-1.1875,-17.8125,,-2.432294037
53.15,-0.00209,0.442,,-1.045,-15.675,,-2.140418753
53.2,-0.00222,0.442,,-1.11,-16.65,,-2.273554848
53.25,-0.00234,0.443,,-1.17,-17.55,,-2.396449704
53.3,-0.00234,0.443,,-1.17,-17.55,,-2.396449704
53.35,-0.002125,0.444,,-1.0625,-15.9375,,-2.176263086
53.4,-0.0023125,0.444,,-1.15625,-17.34375,,-2.368286299
53.45,-0.00241,0.445,,-1.205,-18.075,,-2.468138371
53.5,-0.0023125,0.445,,-1.15625,-17.34375,,-2.368286299
53.55,-0.002125,0.445,,-1.0625,-15.9375,,-2.176263086
53.6,-0.00234,0.446,,-1.17,-17.55,,-2.396449704
53.65,-0.00234,0.446,,-1.17,-17.55,,-2.396449704
53.7,-0.00222,0.447,,-1.11,-16.65,,-2.273554848
53.75,-0.002125,0.447,,-1.0625,-15.9375,,-2.176263086
53.8,-0.00222,0.447,,-1.11,-16.65,,-2.273554848
53.85,-0.00234,0.448,,-1.17,-17.55,,-2.396449704
53.9,-0.00216,0.448,,-1.08,-16.2,,-2.212107419
53.95,-0.0021875,0.449,,-1.09375,-16.40625,,-2.240270824
54,-0.00234,0.449,,-1.17,-17.55,,-2.396449704
54.05,-0.00228,0.45,,-1.14,-17.1,,-2.335002276
54.1,-0.00209,0.45,,-1.045,-15.675,,-2.140418753
54.15,-0.00228,0.45,,-1.14,-17.1,,-2.335002276
54.2,-0.00241,0.451,,-1.205,-18.075,,-2.468138371
54.25,-0.00234,0.451,,-1.17,-17.55,,-2.396449704
54.3,-0.002125,0.452,,-1.0625,-15.9375,,-2.176263086
54.35,-0.00228,0.452,,-1.14,-17.1,,-2.335002276
54.4,-0.0023125,0.452,,-1.15625,-17.34375,,-2.368286299
54.45,-0.0021875,0.453,,-1.09375,-16.40625,,-2.240270824
54.5,-0.002125,0.453,,-1.0625,-15.9375,,-2.176263086
54.55,-0.00234,0.454,,-1.17,-17.55,,-2.396449704
54.6,-0.0023125,0.454,,-1.15625,-17.34375,,-2.368286299
54.65,-0.00209,0.455,,-1.045,-15.675,,-2.140418753
54.7,-0.00225,0.455,,-1.125,-16.875,,-2.304278562
54.75,-0.00234,0.455,,-1.17,-17.55,,-2.396449704
54.8,-0.00234,0.456,,-1.17,-17.55,,-2.396449704
54.85,-0.002125,0.456,,-1.0625,-15.9375,,-2.176263086
54.9,-0.0023125,0.457,,-1.15625,-17.34375,,-2.368286299
54.95,-0.00234,0.457,,-1.17,-17.55,,-2.396449704
55,-0.00225,0.457,,-1.125,-16.875,,-2.304278562
55.05,-0.002125,0.458,,-1.0625,-15.9375,,-2.176263086
55.1,-0.00234,0.458,,-1.17,-17.55,,-2.396449704
55.15,-0.0023125,0.459,,-1.15625,-17.34375,,-2.368286299
55.2,-0.0021875,0.459,,-1.09375,-16.40625,,-2.240270824
55.25,-0.00222,0.46,,-1.11,-16.65,,-2.273554848
55.3,-0.00241,0.46,,-1.205,-18.075,,-2.468138371
55.35,-0.0023125,0.46,,-1.15625,-17.34375,,-2.368286299
55.4,-0.00225,0.461,,-1.125,-16.875,,-2.304278562
55.45,-0.00222,0.461,,-1.11,-16.65,,-2.273554848
55.5,-0.00234,0.462,,-1.17,-17.55,,-2.396449704
55.55,-0.002375,0.462,,-1.1875,-17.8125,,-2.432294037
55.6,-0.00209,0.462,,-1.045,-15.675,,-2.140418753
55.65,-0.002375,0.463,,-1.1875,-17.8125,,-2.432294037
55.7,-0.00234,0.463,,-1.17,-17.55,,-2.396449704
55.75,-0.0021875,0.464,,-1.09375,-16.40625,,-2.240270824
55.8,-0.0021875,0.464,,-1.09375,-16.40625,,-2.240270824
55.85,-0.00241,0.465,,-1.205,-18.075,,-2.468138371
55.9,-0.0023125,0.465,,-1.15625,-17.34375,,-2.368286299
55.95,-0.00216,0.465,,-1.08,-16.2,,-2.212107419
56,-0.002125,0.466,,-1.0625,-15.9375,,-2.176263086
56.05,-0.00234,0.466,,-1.17,-17.55,,-2.396449704
56.1,-0.0023125,0.467,,-1.15625,-17.34375,,-2.368286299
56.15,-0.002125,0.467,,-1.0625,-15.9375,,-2.176263086
56.2,-0.002375,0.467,,-1.1875,-17.8125,,-2.432294037
56.25,-0.00247,0.468,,-1.235,-18.525,,-2.529585799
56.3,-0.002375,0.468,,-1.1875,-17.8125,,-2.432294037
56.35,-0.002125,0.469,,-1.0625,-15.9375,,-2.176263086
56.4,-0.0023125,0.469,,-1.15625,-17.34375,,-2.368286299
56.45,-0.00234,0.47,,-1.17,-17.55,,-2.396449704
56.5,-0.0021875,0.47,,-1.09375,-16.40625,,-2.240270824
56.55,-0.00209,0.47,,-1.045,-15.675,,-2.140418753
56.6,-0.00234,0.471,,-1.17,-17.55,,-2.396449704
56.65,-0.0023125,0.471,,-1.15625,-17.34375,,-2.368286299
56.7,-0.0021875,0.472,,-1.09375,-16.40625,,-2.240270824
56.75,-0.002375,0.472,,-1.1875,-17.8125,,-2.432294037
56.8,-0.00241,0.472,,-1.205,-18.075,,-2.468138371
56.85,-0.0023125,0.473,,-1.15625,-17.34375,,-2.368286299
56.9,-0.002125,0.473,,-1.0625,-15.9375,,-2.176263086
56.95,-0.00234,0.474,,-1.17,-17.55,,-2.396449704
57,-0.002375,0.474,,-1.1875,-17.8125,,-2.432294037
57.05,-0.0021875,0.475,,-1.09375,-16.40625,,-2.240270824
57.1,-0.00216,0.475,,-1.08,-16.2,,-2.212107419
57.15,-0.002375,0.475,,-1.1875,-17.8125,,-2.432294037
57.2,-0.002375,0.476,,-1.1875,-17.8125,,-2.432294037
57.25,-0.00225,0.476,,-1.125,-16.875,,-2.304278562
57.3,-0.00225,0.477,,-1.125,-16.875,,-2.304278562
57.35,-0.0024375,0.477,,-1.21875,-18.28125,,-2.496301775
57.4,-0.00234,0.477,,-1.17,-17.55,,-2.396449704
57.45,-0.002125,0.478,,-1.0625,-15.9375,,-2.176263086
57.5,-0.00228,0.478,,-1.14,-17.1,,-2.335002276
57.55,-0.0024375,0.479,,-1.21875,-18.28125,,-2.496301775
57.6,-0.0023125,0.479,,-1.15625,-17.34375,,-2.368286299
57.65,-0.00203,0.48,,-1.015,-15.225,,-2.078971325
57.7,-0.0023125,0.48,,-1.15625,-17.34375,,-2.368286299
57.75,-0.00228,0.48,,-1.14,-17.1,,-2.335002276
57.8,-0.00216,0.481,,-1.08,-16.2,,-2.212107419
57.85,-0.00216,0.481,,-1.08,-16.2,,-2.212107419
57.9,-0.0023125,0.482,,-1.15625,-17.34375,,-2.368286299
57.95,-0.002375,0.482,,-1.1875,-17.8125,,-2.432294037
